username,like_linda,like_karl_peter,like_sandy,like_kevin,like_martin,like_claudia,used_hashtags
caryf90,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,[]
_ber_nd_,0.0%,0.0%,14.29%,0.0%,16.67%,14.29%,"['#dahoamisamscheensten', '#fkcojones', '#steiermark', '#arnfels', '#hplederhaas', '#rallyrebenland', '#2k19', '#abstimmung', '#Silvester2k16', '#ljubljana', '#unionbrauerei', '#beerporn', '#segeltörn2k18', '#croatia', '#adventure', '#sea', '#windy', '#foodporn', '#clams', '#drinkporn', '#zutzga', '#hoppl', '#jocky', '#11guysonboard', '#nohomo', '#cornaten', '#marinafrappa', '#chef', '#7daysontour', '#skipper', '#mischmasch', '#catgoals', '#kuscheln', '#saturdaymorning', '#gönnung', '#savameetsdunav', '#belgrad', '#easteuropetrip', '#stehendlichauf', '#gartln', '#progress', '#naturpur', '#steirischguad', '#tomaten', '#chillis', '#großepflanzen', '#makesmehappy', '#willernten', '#vielarbeitdahinter', '#sommer', '#woamisdraussn', '#superbowl50', '#gobroncos', '#lasko', '#burgers', '#party', '#morgenfrei', '#urlaubsselfie☀️', '#mussein', '#selce2k18', '#beachday', '#nicefrise', '#mare', '#pivo', '#mussmanerlebthaben', '#dynamo', '#dresden', '#sdg', '#3', '#30000', '#zuschauer', '#gänsehautpur', '#hereweare', '#em2016france', '#austria', '#gutkick', '#fkcojònes', '#immerwiederösterreich', '#124years', '#prideandpassion', '#dreamcametrue', '#lfc', '#redarmy', '#redfellas', '#Derbytime', '#brutaleultras', '#pyrotechnikistkeinverbrechen', '#vfbstuttgart', '#ksc', '#diehassensichwirklich', '#einmegaerlebnis', '#purerneidaufeuch', '#sanehnettejungs', '#diejungsausKA', '#visitaustria', '#exploretheworld', '#hiking', '#nature', '#loveyourself', '#loveyourcountry', '#lovewhatareyoudoing', '#friendship', '#visitstyria', '#notoeuropeansuperleague', '#greed', '#cashisking', '#fuckoff', '#embarrassing', '#tbt', '#friendshiptime', '#rinderwahnwien', '#ichwilleinrindvondir🐮', '#brauwerkwien', '#coldsunnywheather', '#freezing', '#heavycocktails', '#rafcamora', '#187strassenbande', '#foodlovers', '#textunsicher', '#immerwiedergerne', '#besteleben👌🏻', '#motogp', '#2k16', '#spielberg', '#gönnen', '#daddysbirthdayweekend', '#tschöggl', '#steirmark', '#eichberg', '#genießen', '#spritzwein', '#herrlichejausen', '#sweet', '#sour', '#hoamat', '#luft360', '#maribor', '#sonntagsausflug', '#mitmeinemädls', '#yolo', '#fancydrinks', '#zuvielgegangen', '#zuheiß', '#toskana', '#sanDomenico', '#freewalkingtour', '#5tag', '#italien', '#schenegegend', '#superbowl51', '#burger', '#beer', '#friends', '#patriots', '#falcons', '#nfl', '#superbowlsunday🏈', '#19times', '#championsofengland', '#ynwa❤️', '#speechless', '#letsparty', '#weekendtrip', '#bratislava', '#slavin', '#warmemorial', '#neveragain', '#novemberrain', '#winter', '#foggy', '#placetovisit', '#bucketlist', '#sommerzeit', '#grillzeitschönstezeit', '#buschenschankgehtimmer', '#südsteiermark', '#Dorfkinder', '#eastersippen', '#fasching', '#mexicano', '#arbeit', '#trump💩', '#trabajo', '#gündorf']"
carina.gstl,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,[]
itsdelicy,16.67%,16.67%,14.29%,33.33%,16.67%,28.57%,"['#proteinella', '#healthyco', '#chocolate', '#whitechocolate', '#saltedcaramel', '#hazelnutchocolate', '#pancakes', '#pancakeday', '#proteinpancakes', '#breakfastideas', '#breakfasttime', '#breakfastclub', '#coffeetime', '#coffeelife', '#flavours', '#strawberry1', '#stockholmsbränneri', '#stockholm', '#drygin', '#röd', '#gin', '#ginfluencer', '#gintime', '#gintastic', '#xmas', '#weihnachtsgeschenke', '#santa', '#1advent', '#surprise', '#weihnachten', '#negroni', '#sweden', '#swedenlove', '#swedenshots', '#xmastime', '#santaclaus', '#breakfastbowls', '#breakfastfood', '#breakfast', '#breakfastgoals', '#healthy', '#hazelnut', '#spread', '#cream', '#cozymorning', '#coffee', '#tea', '#frühstücksliebe', '#geschmacksentdecker', '#delicy', '#fallvibes', '#fall', '#autumn', '#breakfastinbed', '#cozy', '#orange', '#flowergram', '#foodtrend', '#happy', '#chailover', '#chailatte', '#xmasdecor', '#happyweekend', '#saturday', '#goodmorning', '#coffegram', '#chailovers', '#teatime', '#morningview', '#glögg', '#merrychristmas', '#geschenke', '#plätzchen', '#essenmachtglücklich', '#sonnenuntergang', '#whenthesungoesdown', '#sunset', '#clouds', '#river', '#autumnvibes', '#november', '#beautifulnature', '#naturephotography', '#dresden', '#elbe', '#enjoy', '#sunsetphotography', '#instagin', '#ginlove', '#gincocktails', '#mixologist', '#cocktailbar', '#distillery', '#party', '#gintasting', '#happyhour', '#gintonica', '#gingin', '#food', '#bartenderlife', '#bourbon', '#cocktailsofinstagram', '#barman', '#liquor', '#ilovegin', '#craftcocktails', '#friends', '#drinkup', '#catsofinstagram', '#cat', '#christmas', '#köstlichkeiten', '#kamin', '#kaminfeuer', '#cozyfireplace', '#fireplace', '#swedish', '#cozytime', '#hohoho', '#cocktails', '#gintonic', '#drinks', '#ginandtonic', '#ginlovers', '#cocktail', '#bar', '#ginstagram', '#mixology', '#drink', '#bartender', '#ginoclock', '#ginlover', '#xmaspresent', '#drinkstagram', '#alcohol', '#cheers', '#ginspiration', '#spirits', '#tonic', '#love', '#tonicwater', '#3advent', '#christstollen', '#stollen', '#ginstollen', '#ginglebells', '#weihnachtsgeschenk', '#weihnachtsbaum', '#christmastime', '#surprisesurprise', '#chocolatecream', '#protein', '#noaddedsugar', '#nopalmoil', '#coffeeart', '#halloween', '#halloweenfoodideas', '#halloweenfood', '#halloweenparty', '#coffeelover', '#banana', '#scream', '#breakfastphotography', '#healthylifestyle', '#instahealth', '#instabreakfast', '#frühstück', '#coffeeoclock', '#pinkgin', '#rhubarb', '#oakgin', '#ginbottle', '#cookies', '#plätzchenbacken', '#cookie', '#hotchocolate', '#bakingcookies', '#weihnachtsbäckerei', '#weihnachtsduft', '#healthyfood', '#chocolateaddict', '#choco', '#nosugar', '#coffeeholic', '#minipancakes', '#sweetlife', '#sweetbreakfast', '#tradition', '#gifts', '#ridderheims', '#snack', '#salami', '#pepperoni', '#wandern', '#hiking', '#nature', '#leaves', '#sächsischeschweiz', '#douchbags', '#break', '#hikingisfun', '#deliciousfood', '#october', '#photography', '#fashion', '#pumpkin', '#winter', '#fallcolors', '#instagood', '#photooftheday', '#travel', '#art', '#fallfashion', '#pumpkins', '#beautiful', '#falldecor', '#mushroom', '#wood', '#landscape', '#pumpkinspice', '#forest', '#intothewoods', '#swedishglögg', '#nikolaus', '#2advent', '#zweiteradvent', '#warmdrinks', '#xmasdrink', '#present', '#snacks', '#latebreakfast', '#greenjuice', '#breaky', '#eggs', '#potatoes', '#freshjuice', '#proteinchips', '#probrands', '#crunch', '#proteinsnack', '#lowfat', '#chips', '#foodblogger', '#bbq', '#potatochips', '#potato', '#paprika', '#swedenimages', '#snackideas', '#healthybreak', '#healthysnack', '#ocha', '#matcha', '#teapot', '#ilovetea', '#chai', '#instadrink', '#like', '#teaparty', '#japan', '#afternoontea', '#health', '#detox', '#handmade', '#cupoftea', '#yummy', '#icetea', '#milktea', '#tee', '#cake', '#timetocelebrate', '#navygin', '#skal', '#cidery', '#cider', '#applecider', '#apple', '#ciderlover', '#cidergram', '#cidermaking', '#visitstockholm', '#woodentable', '#feiertag', '#dayoff', '#pancaketower', '#chocolatespread', '#fruits', '#freshfruits', '#berries', '#meltedchocolate', '#yummi']"
tomshotstuff,8.33%,0.0%,0.0%,0.0%,0.0%,28.57%,"['#thefutureofchiliisnow', '#tomshotsauce', '#evergreen', '#hotsauce', '#hotsauces', '#newlaunch', '#chilisauce', '#chilisoße', '#chili', '#chilis', '#hotsaucelover', '#hotsauceaddict', '#handmadeinaustria', '#handmade', '#regional', '#vegan', '#nachhaltigkeit', '#allnatural', '#newproduct', '#springiscoming', '#gogreen', '#thehotsideoflife', '#spicyfood', '#bbq', '#spicedup', '#tomshotstuff', '#production', '#handcrafted', '#summervibes', '#hellskitchen', '#dowhatyoulove', '#awardwinning', '#klagenfurt', '#klagenfurtamwörthersee', '#hotinhere', '#supportsmallbusiness', '#hot', '#doityourself', '#diy', '#madeinaustria', '#happyface', '#jumpman', '#jumphigh', '#hellyeah', '#bbqtime', '#sunrise', '#summeredition', '#natürlich', '#spicy', '#reststop', '#raststätte', '#kärnten', '#mochoritsch', '#delicatessen', '#hotstuff', '#grillen', '#grillschürze', '#apron', '#organic', '#organiccotton', '#merch', '#merchandise', '#hotsauceinmybag', '#startup', '#easter', '#market', '#scharf', '#ostern', '#collab', '#limitededition', '#hometown', '#cocktails', '#cocktailbar', '#spicycocktail', '#chilicocktail', '#bottledcocktail', '#falstaff', '#falstafftasting', '#spicydrink', '#noartificials', '#daswohnzimmer', '#visitklagenfurt', '#bestbarintown', '#cocktail', '#hottingup', '#habaneros', '#fruits', '#handmadewithlove', '#summersale', '#sale', '#onlineshopping', '#barbecue', '#grill', '#gewinnspiel', '#raffle', '#noartificial', '#habanero', '#bhutjolokia', '#hotsaucecollection', '#korneliaurkorn', '#pizzateig', '#pizza', '#pizzalover', '#pizzalove', '#pizzagram', '#pizzapizzapizza', '#hotbox', '#bbqlovers', '#handmadeaustria', '#supportyourlocal', '#spicyfoodlover', '#goevergreen', '#evergiven', '#bbqsauce', '#regionaleprodukte', '#supportlocal', '#suezcanal', '#suezcanalmemes', '#evergreenshipping', '#winwinwin', '#win', '#pins', '#enemalpin', '#verschärft', '#local', '#tomshotbowl', '#hotbowl', '#dirtythirty', '#birthday', '#birthdaybash', '#bar', '#geburtstag', '#geburtstagsgeschenk', '#blumensteiner', '#gärtnereiblumensteiner', '#bleiburg', '#visitkärnten', '#hotsaucecompany', '#plants', '#gardening', '#marketgarden', '#localproduction', '#localgrown', '#austria', '#playlist', '#spotifyplaylist', '#spotify', '#shoreline', '#shorelineband', '#sundaytunes', '#sadkidstothefront', '#punkrock', '#friendshipgoals', '#hottunes', '#spotifytakeover', '#takeover', '#gewinnen', '#verlosung', '#giveaway', '#mexikanischeküche', '#mexikanischesessen', '#texmex', '#sommerküche', '#internationaleküche', '#regionaleinkaufen', '#genusspur', '#genießen', '#genussmomente', '#allegutendingesinddrei', '#chilipeppers', '#nachhaltig', '#kärntnerei', '#wienerroither', '#kaslabn', '#frierss', '#hotnews', '#newspaper', '#kelag', '#magazin', '#magazine', '#newsmagazine', '#inthenews', '#news', '#anniversary', '#love', '#fortheloveofhotsauce', '#hotsauceislife', '#jahrestag', '#ganzvielliebe', '#businessman', '#easterspecial', '#bundle']"
allabout_laurita,8.33%,0.0%,14.29%,0.0%,16.67%,0.0%,"['#salzburg', '#austria', '#happyday', '#normalos', '#foodlover', '#photooftheday', '#foodilicious', '#zahlentorte', '#yummy', '#sunday', '#weekend', '#weekendvibes', '#zlatanibrahimovic', '#ibracadabra', '#socceraddict', '#friday', '#fridayvibes', '#naturelovers', '#naturephotography', '#icecream', '#ice', '#icezeit', '#icezeitsalzburg', '#wednesday', '#girls', '#rainyday', '#friends', '#friendship', '#seafood', '#hrvatska', '#hvar', '#malozarace', '#jadranskomore', '#muscheln', '#summervibes', '#vacation', '#hydra', '#greece', '#goodvibes', '#happy', '#sunny', '#summertime', '#vacationmode', '#justtwogirls', '#austrianblogger', '#flowerpower', '#summer', '#vacationtime', '#mondaymotivation', '#wantback', '#vacay', '#tb', '#monday', '#carpediembeach', '#datecake', '#foodlovers', '#foodporn', '#foodinsta', '#foodism', '#cake', '#cakelover', '#fridaymood', '#hugo', '#vizefreitag', '#sunnyday', '#flowers', '#pasta', '#pastalover', '#pastapasta', '#mondaymood', '#greecevibes', '#sun', '#sea', '#foodblogger', '#vacationvibes', '#book', '#beach', '#takemeback', '#croatia', '#schnittwoch', '#sweet', '#stunning', '#weekendmood', '#beautiful', '#vacationlife', '#ship', '#stunningview', '#holiday', '#sealovers', '#wochenteilung', '#split', '#dalmatien', '#balkan', '#bosnia', '#bosniaandherzegovina', '#booklover', '#bookstagram', '#readersofinstagram', '#read', '#bookrecommendations', '#recommended', '#citylife', '#twogirls', '#newweek', '#newgoals', '#barmstein', '#hikingadventures', '#hiking', '#hikinggirl', '#hikingtheglobe', '#outdoor', '#outdooradventures', '#happyweekend', '#donkey', '#horse', '#hallein', '#sundowner', '#party', '#islandlife']"
motioncooking,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#motioncooking', '#dariocecchini', '#panzanoinchianti', '#curticebrothers', '#steaksandwich', '#steakburger', '#radatz', '#motioncookingstudio', '#pizza', '#sourdough', '#burger', '#brioche', '#showkitchen', '#weinweltat', '#rumswizzle', '#swizzle', '#cocktail', '#angosturabitters', '#beeftatar', '#jerktacos', '#jerkchicken', '#tacos', '#pastalove', '#easyrecipes', '#pradeiserlove', '#pfeffersteak', '#steak', '#glazedcarrots', '#burnhardgrills', '#lgvsonnengemüse', '#lgvgärtnergemüse', '#fermentation', '#hotdog', '#bbq', '#kohlrabi', '#trüffelpasta', '#pasta', '#pastarecipe', '#creamyaf', '#creamypasta', '#tb', '#travel', '#travelandfood', '#kroatien', '#lgvgärtnergschäftl', '#oklahomacheeseburger', '#cheeseburger', '#smashedburger', '#sourdoughpizza', '#pizzacaprese', '#icedcoffee', '#icedlatte', '#icedvanillalatte', '#blondies', '#zucchiniblondies', '#brownies', '#nycheesecake', '#newyorkcheesecake', '#cheesecake', '#raspberrysauce', '#Zakynthos', '#motioncookingontour', '#zakynthosisland', '#greece', '#monkseal', '#backhendl', '#steirischesbackhendl', '#kernölpower', '#friedlove', '#Fermentation', '#MotionKitchen', '#fermentedfoods', '#fermentedlove', '#graz', '#grazfoodguide', '#motionkitchen', '#pizzabaking', '#gschlodashower', '#newWay', '#grilledsalad', '#burrata', '#eatyourveggies', '#dailyinspiration', '#roastedsalad', '#porterhouse']"
susu_sarsoora7,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#deixaeladançar', '#islandgirl', '#freesoul', '#barefoot', '#gypsygirl', '#collaboration', '#sissy', '#felizcumpleaños', '#parabéns', '#allesgutezumgeburtstag', '#birthdaygirl', '#eyebrowsonfleek', '#besos', '#minhafamilia', '#LoDeNosotrosEsUnSecreto', '#BabyYoSiempreMeVengoContigo', '#Bebe', '#mybitches', '#clichè', '#meow', '#halloween', '#barjokes', '#pumpkin', '#cuatrobabys', '#prebirthday', '#antiwrinkle', '#TeQuieroComer', '#meugarato', '#pretendbirthday', '#gata', '#rawr', '#riphughhefner', '#bunny', '#morena', '#coelhinha', '#tan', '#badbunny', '#wesleysafadão', '#sortudo', '#quemtacomelatacomsorte', '#acireale', '#sicily', '#gypsysoul', '#summermood', '#lunay', '#asolasremix', '#reggaeton', '#sophialoren', '#brytiago', '#princesinha', '#playdressup', '#alexrose', '#instamaterial', '#gypsy', '#blondie', '#bosa', '#beijinhopravocês', '#encaracolados', '#dive', '#edsheeran', '#feels', '#photooftheday', '#memories', '#2017', '#winterwonderland', '#olympia', '#beijhinos', '#paratodos', '#ouro', '#sertanejo', '#zefelipe', '#wildsoul', '#cannotbetamed', '#wildheart', '#faltaeu', '#palmademallorca', '#ycuandoyotevi', '#mallorca', '#holidayvibes', '#ConEseCuerpazoYAcercateMasAMiaMi', '#chiquita', '#ifyoureabirdimabird', '#meulouca', '#irmazinha', '#forever', '#felizanonovo', '#sirena', '#mermaid', '#summer', '#vacation', '#beforemytan', '#imabird', '#ratchethappybirthday', '#peterpan', '#tropicanabeachclub', '#gatinha', '#beforeitgotmessy', '#festamenina', '#lostsoul', '#beijinho', '#throwback', '#syonlounge', '#bodyguard', '#brothers', '#idontneedbodyguards', '#imfromthesouthbronx', '#anittabrazil', '#naopercomeutempo', '#beijinhos', '#tchau', '#nuncamais', '#myseagullfriend', '#2daysapart', '#dreiuhrnachts', '#southdownsnationalpark', '#markfoster', '#austrianradio', '#antennesteiermark', '#gusttavolima', '#caféeamor', '#JáPercebeuQueQuandoEuSorrio', '#OMotivoNãoÉMaisVocê', '#OuCoisaParecida', '#EuPrefiroMeuCaféQuente', '#tudook', '#letsgooutout', '#sobrancelhas', '#umabebedessa', '#nuncamaiselevaiter', '#thiaguinho', '#kevinho', '#dancingshoes', '#tigertiger', '#brazilianfunk', '#brasileira', '#withmybitches', '#sertanejo❣️', '#croatia2017', '#split', '#hvar', '#holidayparty', '#girls', '#SinRopaEsQueTeQuieroVer', '#bringon2018', '#fofinho', '#coracao', '#falcinho', '#amorzinho', '#hayati', '#hob', '#falco', '#meucoração', '#tesoro', '#falcao', '#felizdiadosnamorados', '#nephew💙', '#theoneilovethemost', '#valentine', '#waitinginvain', '#bobmarley', '#reggae', '#eliasbirthday', '#fifty9', '#antics', '#sara', '#dontwannawaitinvain', '#foryourlove', '#london', '#nightout']"
lora.ulz,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#frisbee', '#ultimate', '#bibione']"
zita_martus,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#achtsamkeit', '#meditation', '#bewusstsein', '#lebensfreude', '#wahrheitleben', '#mut', '#herzensweggehen', '#vision', '#berufung', '#motivatorin', '#ehrlichkeit', '#klarheit', '#workshops', '#vorträge', '#zitamartus', '#einfachmachen', '#netzwerk', '#herzensweg', '#wahrheit', '#herzklar', '#selbständigkeit', '#mutmacherin', '#struktur', '#coaching', '#berufungleben', '#visionsboard', '#bewusstheit', '#visionskurs', '#glaubandich', '#seminare', '#mentoringprogramm', '#selbstliebe', '#motorrad', '#selbstbewusstsein', '#visionskraft', '#mindset', '#glaubenssätze', '#dubistwertvoll', '#soundhorn', '#ziele', '#kennedeinwofür', '#zielundvisionskurs', '#selbstwertstärken', '#folgedeinemherzen', '#weisheit', '#herzenswegfolgen', '#werteleben', '#freiheit', '#dubistfrei', '#liebe', '#manifestation', '#demherzenfolgen', '#lebedeinevision', '#verbundenheit', '#sichtbarkeit', '#visionen', '#autorin', '#authentisch', '#mehrwert', '#casaananda', '#herzensfreude', '#umsetzung', '#freude', '#herzlichkeit', '#onlinekurs', '#innerefreude', '#lebensweg', '#visionfinden', '#gehedeinenherzensweg', '#lebedeinswahrheit', '#mentoring', '#eigenewahrheitleben', '#eigenekonzepteleben', '#vortragende', '#ideensammlerin', '#freiheitsweg', '#coach', '#visionmachtdichfreu', '#träumeleben', '#onlinkekurs', '#manifestieren', '#fülle', '#erfüllung', '#spirituellercoach', '#stärke', '#bewusstwerdung', '#mentorin']"
lunchbreakstories,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#bebrave', '#lunchbreakstories', '#seiduselbst', '#gründerinnen', '#gründerinnennetzwerk', '#frauennetzwerk', '#igersgraz', '#igersvienna', '#podcastfürfrauen', '#österreichpodcast', '#fempreneur', '#selbstständig', '#strongwomenlifteachotherup', '#stoppsexuellebelästigung', '#catcallsofgraz', '#stoppgewaltgegenfrauen', '#gewaltgegenfrauen', '#sexuellebelästigung', '#frauenfürfrauen', '#empowerment', '#empoweredwomenempowerwomen', '#aufstehen', '#gegengewalt', '#belästigungvonfrauen', '#neinsagen', '#frauenpodcast', '#graz', '#steiermark', '#steiermark💚', '#frauenpower', '#frauen', '#frauenempowerment', '#lyngual', '#gründer', '#startup', '#techstartup', '#nushu', '#sheconomy', '#frauenunterstützenfrauen', '#unternehmer', '#unternehmerin', '#igersmunich', '#gründen', '#machenistwiewollennurkrasser', '#summervibes', '#summer2021', '#nobodyshame', '#beyourself', '#podcast', '#frauensindschön', '#dubistgutsowiedubist', '#trustyourgut', '#igerswien', '#selbstundständig', '#unternehmerinnen', '#bosslady', '#elanorroosevelt', '#sommermotto', '#frauensindkeineobjekte', '#frausein', '#wednesday', '#rolemodel', '#podcastausösterreich', '#femalefuturefestival', '#femalefuturefestivalgraz', '#femalefutureforce', '#vernetzung', '#speakerin', '#eventfürfrauen', '#igeragraz', '#igersbregenz', '#femaleempowerment', '#fraueninführung', '#karriere', '#karriereundkind', '#mompreneur', '#verenapausder', '#womanatwork', '#strongertogether', '#igersaustria', '#frauentag', '#internationalwomensday', '#internationalerfrauentag', '#frauensupportenfrauen', '#nushuu', '#women', '#chefin', '#mayaangelou', '#stronggirl', '#dontquit', '#igershamburg', '#solopreneur', '#motivationzummitnehmen', '#weitermachen', '#powerwoman', '#pwrwmn', '#powerwomxn', '#womenempowerment', '#fempower', '#feminity', '#womanhood', '#ask4more', '#changetheratio', '#girlpower', '#tothegirls', '#equality', '#respectwomen', '#womensupportingwomen', '#womeninbusiness', '#femaleempowermentproject', '#strongwomen', '#feminism', '#feminismus', '#dearmara', '#smallbusinesslove', '#nachhaltigkeit', '#nachhaltigerschmuck', '#fairerschmuck', '#femalefounders', '#gründung', '#gründungsberatung', '#gründungstipps', '#tippsfürgründerinnen', '#gastronomie', '#lockdown', '#podcasting', '#cafébesitzer', '#zerowaste', '#unverschwendet', '#lebensmittelretten', '#stadtgraz', '#unternehmenhelfenunternehmen', '#gründerin', '#cafésingraz', '#frühstückingraz', '#autorin', '#igersgermany', '#schuldenfrei', '#mutgewinnt', '#krisenmanagement', '#mumpreneur', '#ermutigung', '#schicksalsschlag', '#weitergehts', '#inspiration', '#femaleleaders', '#femaleleadership', '#femaleleader', '#womenintech', '#techleader', '#wunderweiber', '#wuexecutiveacademy', '#bosnia', '#expatlife', '#führungskräfteentwicklung', '#networking', '#networkingqueen', '#podcastersofinstagram', '#neueepisode', '#femalelead', '#makingitinaustria', '#happyweekend', '#brenebrownquotes', '#mut', '#gründermütter', '#shepreneur', '#frauenimbusiness', '#steirerin', '#muttutgut', '#aufstehenkronerichtenweitergehen', '#resilenz', '#buna', '#bunacoffee', '#kaffeeliebe', '#coffeebreak', '#frauenkaffee', '#womenincoffee', '#gewinnspiel', '#gewinnspiel2021', '#fairtrade', '#kaffeekaffeekaffee', '#nocompetition', '#igergraz', '#starkefrauen', '#mittwochmotivation', '#michelleobamaquotes', '#zitateundsprüche', '#nocompetitionhere', '#motivationssprüche', '#frauenbusiness', '#diesteirerin', '#interview', '#diemacherin', '#steirerinawawards2020', '#podcastösterreich', '#mutzurlücke', '#blogger', '#blogger_at', '#igerslinz', '#reiselust', '#reisen', '#reisenfuerweltentdecker', '#reisen2021', '#blogging', '#kleinunternehmen', '#onlinemarketing', '#reiseblogger', '#reisenreisenreisen', '#chancennutzen', '#girlcrush', '#frauenintechnik', '#frauenintech', '#techfrauen', '#businessfrau', '#igersbosnia', '#podcastgespräch', '#podcastgründerleben', '#femtech', '#leitung', '#motivationalquotes', '#winelover', '#nowhining', '#doers', '#macherin', '#grazerbusinessmamas', '#kindundbusiness', '#mamablogger', '#podcastfrauen', '#ownyourstory', '#deinegeschichtezählt', '#storytime', '#lebeninfülle', '#podcaststories', '#poscastösterreich', '#podcastdeutschland', '#gründerstory', '#unternehmerstory', '#biografiearbeit', '#fraueningraz', '#frauenvorbilder', '#crowdfunding', '#büchersüchtig', '#bücherliebe', '#bücher2021', '#unruhestand', '#pioniere', '#frauengeschichte']"
juliescakedesign,41.67%,16.67%,0.0%,11.11%,0.0%,0.0%,"['#melanzani', '#aubergine', '#pizzarezept', '#pizza', '#italien', '#überbacken', '#einfacherezepte', '#einfachkochen', '#austrianfoodblogger', '#gesund', '#nahrhaft', '#nutrition', '#veganerezepte', '#megalecker', '#graz', '#essensfotografie', '#zucchinirezepte', '#garten', '#ofengemüse', '#fotografie', '#foodblog', '#essenmachtglücklich', '#foodblog_at', '#backen', '#foodblogliebe', '#thefeedfeedbaking', '#schokotorte', '#schokolade', '#chocolatecake', '#schwarzwälderkirschtorte', '#schwarzwälderkirsch', '#cherrypie', '#backenmachtglücklich', '#FoodPhotography', '#cakedesign', '#cakestyling', '#kuchen', '#patisserie', '#mehlspeise', '#yummy', '#Foodstagram', '#windeltortenzauber', '#himbeerkuchen', '#streuselkuchen', '#joghurtkuchen', '#obstkuchen', '#himbeertorte', '#österreichischeküche', '#sommer', '#gesunderkuchen', '#grazerblogger', '#grazfood', '#gesundbacken', '#zuckerfreibacken', '#zuckerfreierezepte', '#gesunderezepte', '#healthybaking', '#afba21', '#mahlzeit', '#auflauf', '#quinoa', '#tomaten', '#italienischeküche', '#gewürze', '#gesundeküche', '#gesundkochen', '#soulfood', '#vegetarian', '#grazblogger', '#zucchini', '#lecker', '#spicy', '#food', '#mirrorglaze', '#mirrorglazecake', '#torte', '#dessert', '#backenistliebe', '#backenmitliebe', '#törtchen', '#foodphotography', '#nachspeise', '#cheesecake', '#spiegelglasur', '#droetker', '#kuchenRezepte', '#RecipeOfTheDay', '#gesundundlecker', '#lernpause', '#urlaubsfeeling', '#hunger', '#zuckerfrei', '#sugarfree', '#projektzuckerfrei', '#refinedsugarfree', '#gesundeernährung', '#visitcarinthia', '#villach', '#ferien', '#ehrenwort_genussmomente', '#mexico', '#mexicanfood', '#scharfesessen', '#igersgraz', '#rezeptideen', '#ichbindabei', '#foodtography', '#foodtographyschool', '#foodblogger', '#afba', '#apfelstrudel', '#apfelkuchen', '#apfelbrot', '#zerowaste', '#zerowastekitchen', '#bewusstessen', '#foodblogÖsterreich', '#soproudofyou', '#reels', '#n', '#nutritionfirst', '#guiltfree', '#gesundnaschen', '#schokoriegel', '#veganlife', '#vegan', '#vegannaschen', '#erdbeeren', '#keksebacken', '#veganeküche', '#onepotmeal', '#curry', '#asianfood', '#pictureoftheday', '#veganfood', '#healthyfood', '#indianfood', '#15minutemeals', '#abendessen', '#rezeptidee', '#hotsauce', '#chili', '#suppe', '#lebensmittelretten', '#abfallvermeidung', '#tomshotstuff', '#scharfessen', '#resteverwertung', '#kochenmitliebe', '#supportsmallbusiness', '#soup', '#igersaustria', '#startup', '#birthdaygirl', '#frühstück', '#breakfast', '#daseggenberg', '#esseningraz', '#geburtstagskind', '#happyme', '#geburtstagstorte', '#birthdaycake', '#grazaustria', '#whoruntheworld', '#feeling22', '#happybirthdaytome', '#gewinnspiel', '#granola', '#müsli', '#knuspermüsli', '#bowl', '#apfelrezept', '#blätterteig', '#vanillepudding', '#lavendel', '#lavendeltarte', '#mohn', '#mohntorte', '#gesundfrühstücken', '#konditorei', '#tarte', '#gebäck', '#kuchenliebe', '#gesundekekse', '#pizzateig', '#vegetarischerezepte', '#vegetarisch', '#veggiefood', '#pizzarecipe', '#italianfood', '#polenta', '#muffins', '#maisgries', '#getreide', '#sommerzeit', '#sommer21', '#natürlichnurgetestet', '#gesundessen', '#keksi', '#salatliebe', '#kürbis', '#pumpkin', '#herbstküche', '#mealprep', '#mealplanning', '#brotbacken', '#brot', '#brotrezept', '#dinkelbrot', '#vollkornbrot', '#brotzeit', '#dinkel', '#breadbaking', '#healthykitchen', '#brotohnehefe', '#schnellerezepte', '#butterbrot', '#werbung', '#mehl', '#teamrosinen', '#teamantirosinen', '#veganbacken', '#strudelteig', '#teigrezept', '#veganrecipe', '#ahornsirup', '#veganlifestyle', '#einbisschenspaßmusssein', '#kochschürze']"
