id_of_post,NN,NNP,JJ,VBZ,VBP,RB,VBD,IN,NNS,LS,TO,VBN,WP,UH,VBG,DT,PRP,WP$,NNPS,PRP$,WDT,RBR,RBS,FW,RP,JJR,JJS,PDT,MD,VB,WRB,EX,SYM,CC,CD,POS,'',(,),.,",",:,``,$,--,#,likes_of_post
CAfYvLynlQc,15,16,8,1,2,3,2,3,2,,,2,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,3,,4,,,,,188
CQ3JltNpzou,29,20,9,1,,1,2,2,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,6,,1,,,,,61
B9Ov-vHnAbv,13,12,12,,1,,1,2,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,2,,1,,,,,155
B9_V1p3HPDc,19,29,6,3,2,,1,3,,,,,2,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,4,2,4,,,,1,119
CLhD7aEHWts,56,72,24,4,5,2,7,5,6,,,,,,,,,,,,,,,1,,,,,,1,1,,,2,3,,,2,2,12,1,2,,,,,162
BpROcr-A704,8,8,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,,,,,43
CCWMcoGihkm,17,20,1,1,1,1,,2,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,6,,,1,,,,112
BvhA1GAggg3,28,12,11,1,4,,,1,2,,,,,,,1,,,,,,,,,,2,,,,2,,,,,,,,,,1,1,1,,,,,55
B05HbR7nHTf,13,12,11,3,1,1,1,3,2,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,52
CO0a129nZ3z,112,127,36,9,,6,10,12,5,,,1,1,,,2,,,,,,,,4,,,,,,,1,,,1,5,,,1,1,27,11,4,,,,,199
CKUBbuLHPgU,13,12,4,1,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,462
CClUmDbiDy9,14,15,5,1,1,,,4,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,3,,,,,,96
CDJsWyyCoJR,19,22,5,,,,2,3,,,,,1,,,,,,,,,,,,,,,,,1,,,,2,,,,,1,7,1,2,,,,,133
CNPjw0-HCkB,8,13,4,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,160
B9YxU8hHtkr,11,7,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,142
CFKcDujiN4t,33,32,7,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,1,,1,7,8,4,1,,,,130
CHihhkkHT7v,10,12,3,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,2,,,,,,145
CGxlae9nTPJ,4,3,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,88
B-uW5ctnXNR,13,20,9,2,1,,1,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,4,1,1,,,,,115
CDtvhMxCCXE,4,11,8,2,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,6,1,,,,,,89
CMXQkZ7HxVL,7,4,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,103
COVtQ9MHj1m,8,6,4,,1,2,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,98
CAAK5e8H71x,10,11,2,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,86
CADftaPHYQ-,31,38,7,1,1,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,20,,1,,,,,207
CF9Tisxn_ux,11,16,6,,1,,1,,1,,,,,,,,,,,,,,,1,,,,,1,,,,,,1,,,,,2,2,1,,,,,
CG2D9LFHGYK,2,10,1,,1,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132
CFRtv_Qi-S1,19,34,7,1,2,1,2,3,2,,,,1,,,,,,,,,,,1,,,,,,,,,,1,,,1,,,4,1,1,1,,,,117
CLCUVnInQIB,8,6,3,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,114
CBz_lV4JD3h,13,16,2,,,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,2,,,,,136
ByxdetrnTRA,24,6,8,,,1,1,3,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,2,,,,1,3,,2,,,,,73
CDmVwohC4oQ,26,28,10,3,2,,2,2,1,,,,1,,,1,,,,,,,,,,,,,,1,,,,,1,,,3,3,8,1,,,,,,113
Bv0hDCIALaM,54,26,22,1,4,,2,5,2,,,1,,,,2,1,,2,,,,,,,,,,,,,,,1,1,,,1,1,6,5,2,,,,,142
CANIREvHaek,21,36,8,3,,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,1,8,2,3,,,,,227
CRT57xcK-WK,16,13,9,1,3,4,2,2,5,,,1,,,,2,7,,,,,,1,,,1,,,2,2,,,,2,1,,,,,9,1,2,,,,,156
CSV139mqcQu,19,18,6,1,,,1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,5,1,,,,,,71
B5FVEnznSNd,44,43,16,1,2,,3,2,2,,,,,,,,,,,,,,,2,,,,,,1,,,,2,3,,,,,4,6,1,,,,,75
CAsV0XIHNbT,16,16,3,2,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,81
