community_clusters,hashtags_of_community_clusters,score_of_community_clusters,k_mean_clusters,hashtags_of_k_mean_clusters,score_of_k_mean_clusters,levenshtein_clusters,hashtags_of_levenshtein_clusters,score_of_levenshtein_clusters,best_clusters,hashtags_of_best_clusters,score_of_best_clusters
community cluster 11,"['inlove', 'travelgram', 'happynewyear', 'sun', 'view', 'sunshine', 'italy', 'vacationmode', 'summer', 'graz', 'friends', 'austria', 'love', 'happyplace', 'holiday', 'home']",243.6,k mean cluster 11,"['redbull', 'pyramid', 'travelphotography', 'travelgram', 'giraffe']",24.5,levenshtein cluster 11,"['bestfood', 'seafood', 'italianfood', 'ınstagood', 'asianfood', 'instafood', 'superfood', 'grazfood', 'soulfood', 'drinkstagram', 'instagram', 'instagood']",56.0,community cluster 13,"['sunset', 'friends', 'graz', 'travelphotography', 'travelgram', 'sun', 'sunshine', 'view', 'italy', 'beautiful', 'vacationmode', 'greece', 'austria', 'dream', 'india', 'photography', 'memories', 'love', 'life', 'sea']",214.0
community cluster 12,"['blackouttuesday', 'dream', 'beautiful', 'sunshine', 'tea', 'sunset', 'vacationmode', 'summer', 'photography', 'happyme', 'memories', 'home', 'nature', 'explore', 'austria', 'travel', 'history']",196.64999999999998,k mean cluster 12,"['1yearanniversary', 'animals']",9.5,levenshtein cluster 12,"['food', 'pool', 'wood', 'moon', 'foto', 'ootd', 'mode', 'foodie', 'soon', 'cool', 'meow', 'cold', 'mood']",64.80000000000001,community cluster 900,"['österreich', 'homemade', 'startuplife', 'weekend', 'erfrischung', 'happy', 'vollfein', 'running', 'verrücktnachmarry', 'steiermark', 'drinks', 'graz', 'photography', 'igersgraz', 'regionalität', 'durstlöscher', 'home', 'startup']",211.20000000000002
community cluster 13,"['sunset', 'friends', 'graz', 'travelphotography', 'travelgram', 'sun', 'sunshine', 'view', 'italy', 'beautiful', 'vacationmode', 'greece', 'austria', 'dream', 'india', 'photography', 'memories', 'love', 'life', 'sea']",214.0,k mean cluster 13,[],0.0,levenshtein cluster 13,"['essen', 'friends', 'wien', 'linz', 'freude', 'drinks', 'kids', 'nye', 'diy', 'wood', 'water', 'like', 'tee', 'ocean', 'feiern', 'wow', 'green', 'friendship', 'drink', 'ferien', 'new']",92.14999999999999,community cluster 758,"['österreich', 'sunday', 'frühling', 'wandern', 'auszeit', 'team', 'hausberg', 'couple', 'graz', 'austria', 'igersgraz', 'spring', 'lockdown', 'ostern']",210.6
community cluster 14,"['animals', 'tea', 'sunset', 'graz', 'history', 'travelgram', 'italy', 'valentinesday', 'explore', 'blackouttuesday', 'vacationmode', 'greece', 'summer', 'austria', 'nature', 'dream', 'memories', 'love', 'travel', 'holiday']",229.0,k mean cluster 14,"['photooftheday', 'history', 'photography']",51.800000000000004,levenshtein cluster 14,"['team', 'insta', 'icetea', 'nye', 'bio', 'icedtea', 'matetea', 'ootd', 'mate', 'diy', 'tb', 'ikea', 'cat', 'bar', 'milktea', 'gin', 'icecream', 'tea', 'mut', 'new', 'cute']",81.7,community cluster 25,"['inlove', 'india', 'travelgram', 'sun', 'vitaminsea', 'view', 'sunshine', 'sunset', 'italy', 'vacationmode', 'greece', 'friends', 'graz', 'austria', 'love', 'life']",210.0
community cluster 15,"['animals', 'graz', 'history', 'travelphotography', 'sun', 'italy', 'valentinesday', 'explore', 'blackouttuesday', 'nurheute', 'vacationmode', 'summer', 'austria', 'nature', 'australia', 'photography', 'love', 'travel', 'holiday', 'sea']",242.0,k mean cluster 15,[],0.0,levenshtein cluster 15,"['foodblog', 'foodlovers', 'foodblogger', 'foodlover']",39.6,community cluster 753,"['style', 'wandern', 'vorfreude', 'team', 'winterwonderland', 'inspiration', 'hausberg', 'igersgraz', 'photography', 'happysunday', 'austria', 'valentinstag', 'graz', 'lockdown', 'ostern', 'baustelle']",210.0
community cluster 16,"['sunset', 'friends', 'graz', 'inlove', 'travelgram', 'sun', 'view', 'sunshine', 'explore', 'vacationmode', 'greece', 'summer', 'happyme', 'austria', 'nature', 'india', 'photography', 'love', 'life', 'travel']",248.0,k mean cluster 16,"['great', 'friends', 'graz', 'greece', 'athens', 'dream', '35gradforthewin', 'igers']",110.4,levenshtein cluster 16,"['österreich', 'Österreich']",22.799999999999997,community cluster 988,"['moon', 'wedding', 'art', 'linz', 'relax', 'italy', 'artwork', 'graz', 'friends', 'austria', 'nofilter', 'summer', 'Graz', 'homeoffice', 'summerinthecity']",210.0
community cluster 17,"['animals', 'sunshine', 'tea', 'sunset', 'stayhome', 'happyplace', 'greece', 'graz', 'friends', 'happyme', 'love', 'vacationmode', 'summer', 'austria', 'holiday']",242.5,k mean cluster 17,[],0.0,levenshtein cluster 17,"['jp', 'bf', 'art', 'mare', 'party', 'tb', 'park', 'dxb', 'cat', 'atp', 'bar', 'tarte', 'a7s', 'tee', 'bbq', 'tea', 'tbt', 'job', 'uk', 'krk']",71.0,community cluster 645,"['selfmade', 'österreich', 'style', 'sunday', 'frühling', 'auszeit', 'inspiration', 'igersgraz', 'couple', 'steiermark', 'graz', 'happysunday', 'photography', 'berries', 'spring', 'lockdown', 'ostern']",209.29999999999998
community cluster 18,"['travelphotography', 'blackouttuesday', 'inlove', 'travelgram', 'sun', 'view', 'tea', 'italy', 'photography', 'history', 'austria', 'nature', 'friends', 'graz', 'travel', 'philippines', 'sea']",217.35,k mean cluster 18,[],0.0,levenshtein cluster 18,"['atp', 'jp', 'cpu', 'duft', 'dp', 'boss', 'uae', 'rost', 'musik', 'rose', 'uk', 'bf', 'usa', 'dusk', 'em', 'dji', 'music', 'dose']",35.2,community cluster 938,"['instafood', 'family', 'relaxing', 'networking', 'sun', 'startupspritzer', 'wood', 'beautiful', 'best', 'summer', 'graz', 'wien', 'trees', 'yummy', 'vacation', 'mountainbike', 'fun', 'startup']",207.9
community cluster 19,"['blackouttuesday', 'animals', 'dream', 'india', 'sunshine', 'sunset', 'italy', 'vacationmode', 'greece', 'summer', 'blacklivesmatter', 'nature', 'love', 'life', 'austria', 'holiday']",190.79999999999998,k mean cluster 19,"['nextrichpiana', 'beachwaves', 'beachlife']",5.550000000000001,levenshtein cluster 19,"['london', 'tester', 'corgi', 'trvp', 'skate', 'trees', 'rost', 'rose', 'lockdown', 'Lockdown', 'funny', 'mode', 'monday', 'crazy', 'dose', 'torte', 'slowdown', 'curry', 'town', 'pure']",46.0,community cluster 884,"['visitaustria', 'travelgram', 'sightseeing', 'wandern', 'naturelover', 'sun', 'summervibes', 'travel', 'naturelove', '2021', 'graz', 'nature', 'hiking', 'styria', 'mountains', 'mountainlove']",206.4
community cluster 20,"['blackouttuesday', 'dream', 'sunshine', 'sunset', 'stayhome', 'vacationmode', 'blacklivesmatter', 'graz', 'greece', 'austria', 'love', 'life', 'italy', 'history', 'travel', 'philippines']",198.0,k mean cluster 20,"['blue', 'best', 'tb', 'nye', 'dxb']",28.0,levenshtein cluster 20,"['tasty', 'tarte', 'taste', 'torte', 'mare', 'party', 'india', 'curry', 'cherry', 'game', 'lake', 'park', 'mode', 'marry', 'pasta', 'pure', 'insta']",59.8,community cluster 654,"['style', 'italia', 'girlpower', 'igersaustria', 'blogger', 'holidays', 'italy', 'igersgraz', 'graz', 'love', 'flowers', 'girl']",205.79999999999998
community cluster 21,"['blackouttuesday', 'travelphotography', 'inlove', 'travelgram', 'sun', 'vitaminsea', 'view', 'summer', 'photography', 'history', 'friends', 'travel', 'sea']",155.25,k mean cluster 21,"['aufschlag', 'africa', 'pyramidsofgiza', 'bestfriend', 'girlstrip', 'roadtrip', 'roadtrippin']",19.799999999999997,levenshtein cluster 21,"['dec', 'red', 'sea', 'team', 'tee', 'new', 'usa', 'see', 'em', 'tea', 'meat', 'tbt', 'ikea']",55.35,,,
community cluster 22,"['travelphotography', 'travelgram', 'sun', 'view', 'sunshine', 'sunset', 'italy', 'vacationmode', 'greece', 'friends', 'graz', 'summer', 'love', 'life', 'austria', 'photography', 'holiday']",261.04999999999995,k mean cluster 22,['egiptologia'],1.9500000000000002,levenshtein cluster 22,"['makeup', 'metal', 'fair', 'bts', 'mountain', 'wald', 'danke', 'gala', 'matetea', 'montag', 'mate', 'see', 'park', 'maxon', 'razer', 'mountains', 'moon', 'moda', 'donau', 'blue']",42.0,,,
community cluster 23,"['animals', 'sunset', 'friends', 'travelgram', 'sunshine', 'italy', 'stayhome', 'happyplace', 'holiday', 'nurheute', 'greece', 'vacationmode', 'summer', 'austria', 'india', 'australia', 'photography', 'love', 'life', 'philippines', 'sea']",179.54999999999998,k mean cluster 23,['sunglasses'],9.75,levenshtein cluster 23,"['dec', 'band', 'team', 'brand', 'lunch', 'brunch', 'jeans', 'best', 'beachday', 'meat', 'benq', 'beach', 'bar', 'smile', 'healthy', 'health', 'milch', 'bay', 'beauty', 'nacht']",58.0,,,
community cluster 24,"['animals', 'sun', 'vitaminsea', 'sunshine', 'sunset', 'stayhome', 'vacationmode', 'greece', 'graz', 'italy', 'austria', 'love', 'summer', 'happyplace', 'philippines', 'sea']",228.0,k mean cluster 24,"['hiking', 'spielberg', 'skiing', 'horseriding']",27.0,levenshtein cluster 24,"['cocktails', 'cocktailbar', 'cocktail']",25.900000000000002,,,
community cluster 25,"['inlove', 'india', 'travelgram', 'sun', 'vitaminsea', 'view', 'sunshine', 'sunset', 'italy', 'vacationmode', 'greece', 'friends', 'graz', 'austria', 'love', 'life']",210.0,k mean cluster 25,"['blackouttuesday', 'sunsetsaturday', 'happyhappyhappy']",9.25,levenshtein cluster 25,"['naturelover', 'naturelovers', 'naturelove']",22.200000000000003,,,
community cluster 26,"['inlove', 'animals', 'travelgram', 'sunshine', 'sunset', 'italy', 'vacationmode', 'summer', 'friends', 'austria', 'love', 'life']",191.79999999999998,k mean cluster 26,[],0.0,levenshtein cluster 26,"['nice', 'view', 'kino', 'winzer', 'bts', 'bingo', 'bf', 'vibe', 'vibes', 'ginger', 'cake', 'liebe', 'bio', 'wine', 'bier', 'video', 'cine', 'winter', 'vino', 'blog']",59.0,,,
community cluster 27,"['life', 'animals', 'dream', 'travelgram', 'india', 'sunshine', 'sunset', 'italy', 'nurheute', 'greece', 'graz', 'friends', 'stayhome', 'love', 'vacationmode', 'summer', 'holiday']",198.95,k mean cluster 27,"['soulmate', 'nurheute']",7.6,levenshtein cluster 27,"['coffeelovers', 'coffeelover']",15.2,,,
community cluster 28,"['holiday', 'animals', 'dream', 'australia', 'sunset', 'italy', 'nurheute', 'greece', 'graz', 'stayhome', 'austria', 'love', 'vacationmode', 'philippines']",197.6,k mean cluster 28,"['perfect', 'bestes']",3.8,levenshtein cluster 28,"['verrucktnachmarry', 'verrücktnachmarry', 'verrücktnachbarry']",18.5,,,
community cluster 29,"['animals', 'india', 'sunshine', 'sunset', 'vacationmode', 'greece', 'summer', 'happyplace', 'love', 'life', 'holiday']",143.54999999999998,k mean cluster 29,[],0.0,levenshtein cluster 29,"['women', 'nice', 'loveit', 'love', 'vote', 'like', 'rose', 'nike', 'lake', 'cover', 'mylove', 'game', 'cute', 'horse', 'home', 'mode', 'dose']",74.75,,,
community cluster 30,"['animals', 'dream', 'india', 'sunshine', 'sunset', 'italy', 'vacationmode', 'summer', 'austria', 'life']",151.5,k mean cluster 30,[],0.0,levenshtein cluster 30,"['love', 'shoot', 'sunnyday', 'yoga', 'cool', 'wine', 'montag', 'mate', 'soon', 'sunday', 'maxon', 'dog', 'moon', 'moda', 'sonne', 'sonntag', 'monday', 'sunny', 'sunnydays', 'town']",74.0,,,
community cluster 31,"['instagood', 'friday', 'tbt', 'croatia', 'sunday', 'sunnydays', 'beach', 'italy', 'home', 'happyweekend', 'igers', 'instadaily', 'weekendmood', 'igersaustria', 'happy', 'summer', 'happyme', 'austria', 'smile', 'photooftheday', 'happiness']",178.6,k mean cluster 31,[],0.0,levenshtein cluster 31,"['cat', 'mut', 'danke', 'liebe', 'cats', 'uae', 'cine', 'like', 'mare', 'nike', 'lake', 'game', 'mate', 'cute', 'cake', 'pure']",55.199999999999996,,,
community cluster 32,"['cheersrost', 'india', 'coffee', 'onset', 'musicvideo', 'australia', 'inspiration', 'studio', 'creative', 'productdesign', 'graz', 'austria', 'shoot', 'werbung', 'iphone', 'greenscreen', 'mountains']",150.64999999999998,k mean cluster 32,[],0.0,levenshtein cluster 32,"['newyears', 'newyearsparty', 'newyearsday', 'newyear', 'newyearseve']",22.75,,,
community cluster 33,"['sunset', 'croatia', 'autumn', 'weekendvibes', 'sun', 'beach', 'sunshine', 'home', 'flowers', 'igersaustria', 'happy', 'girlstrip', 'happysunday', 'homeoffice', 'weekend', 'summervibes', 'photography', 'happiness', 'verrucktnachmarry', 'mondaymotivation']",162.0,k mean cluster 33,"['home', 'life']",19.0,levenshtein cluster 33,"['nice', 'minze', 'kino', 'hitze', 'milk', 'uae', 'game', 'girl', 'rose', 'bier', 'see', 'kochen', 'unique', 'lake', 'küche', 'milch', 'vino', 'kuchen', 'blue', 'pure']",45.0,,,
community cluster 34,"['tbt', 'sunset', 'croatia', 'autumn', 'rooftopparty', 'beach', 'home', 'flowers', 'roadtrip', 'igersaustria', 'mindset', 'girlstrip', 'summer', 'sundayfunday', 'happysunday', 'weekend', 'summervibes', 'photography', 'happiness']",172.20000000000002,k mean cluster 34,"['chipsy', 'happyme']",13.299999999999999,levenshtein cluster 34,"['fair', 'band', 'flir', 'wald', 'food', 'grow', 'rost', 'rose', 'foodie', 'foodies', 'cookies', 'red', 'boss', 'moda', 'mode', 'dose', 'job', 'blog', 'pop', 'hund', 'town']",45.599999999999994,,,
community cluster 35,"['roadtrip', 'sun', 'homeoffice', 'summervibes', 'sunshine', 'beach', 'mindset', 'summer', 'croatia', 'flowers', 'mondaymotivation']",149.35,k mean cluster 35,['safari'],1.9500000000000002,levenshtein cluster 35,"['bts', 'cats', 'bye', 'bf', 'bmw', 'öbb', 'bio', 'mate', 'diy', 'cat', 'bar', 'lgbt', 'tee', 'bbq', 'eis', 'tbt', 'mut', 'bay', 'brot']",56.7,,,
community cluster 36,"['friday', 'tbt', 'sunset', 'croatia', 'sunday', 'springvibes', 'beach', 'home', 'happyweekend', 'igers', 'weekendmood', 'igersaustria', 'summer', 'happyme', 'sunflower', 'smile', 'summervibes', 'photooftheday', 'happiness', 'verrucktnachmarry', 'happygirl']",152.0,k mean cluster 36,[],0.0,levenshtein cluster 36,"['ligt', 'nice', 'love', 'jan', 'vibe', 'linz', 'liebe', 'nye', 'inlove', 'wine', 'nike', 'diy', 'life', 'cine', 'like', 'lake', 'gin', 'eis', 'rain']",74.55,,,
community cluster 37,"['weekend', 'beach', 'summervibes', 'sun', 'summer', 'photography', 'croatia', 'autumn', 'rooftopparty', 'weekendvibes', 'oldtown']",162.4,k mean cluster 37,['instagood'],19.5,levenshtein cluster 37,"['goodtimes', 'wildlife', 'goodlife', 'uaelife', 'unilife', 'goodtime', 'foodie', 'gymlife', 'goodvibes', 'dubailife', 'foodies']",40.6,,,
community cluster 38,"['friday', 'croatia', 'krk', 'sunday', 'springvibes', 'sunnydays', 'beach', 'happyweekend', 'igers', 'weekendmood', 'igersaustria', 'summer', 'sundayfunday', 'happysunday', 'sunflower', 'smile', 'happiness', 'verrucktnachmarry', 'happygirl']",120.75,k mean cluster 38,[],0.0,levenshtein cluster 38,"['bts', 'bye', 'bf', 'feuer', 'bmw', 'öbb', 'best', 'bier', 'see', 'benq', 'bar', 'xeen', 'beer', 'tee', 'bbq', 'bay', 'bowl', 'town', 'beeren']",42.0,,,
community cluster 39,"['sunday', 'weekendmood', 'springvibes', 'smile', 'beach', 'igersaustria', 'friday', 'tbt', 'sunset', 'photooftheday', 'croatia', 'home', 'happyweekend', 'happygirl', 'igers']",118.75,k mean cluster 39,"['richtigetouristenpics', 'meinvorhanghängtimbild']",3.8,levenshtein cluster 39,"['geschenk', 'geschenke']",11.399999999999999,,,
community cluster 40,"['friday', 'tbt', 'sunset', 'autumn', 'rooftopparty', 'weekendvibes', 'sunnydays', 'beach', 'sunshine', 'home', 'igers', 'oldtown', 'igersaustria', 'mindset', 'sundayfunday', 'happyme', 'happysunday', 'weekend', 'photooftheday', 'photography', 'happiness']",128.25,k mean cluster 40,['grübchenonfleek'],1.9500000000000002,levenshtein cluster 40,"['essen', 'share', 'yoga', 'insta', 'snow', 'best', 'nye', 'herz', 'diy', 'dog', 'black', 'snacks', 'bar', 'sea', 'news', 'snack', 'break', 'bbq', 'pasta', 'mut', 'wein']",68.39999999999999,,,
community cluster 41,"['sunflower', 'sunday', 'smile', 'sun', 'igersaustria', 'homeoffice', 'photooftheday', 'sundayfunday', 'happiness', 'flowers', 'happyweekend', 'happygirl', 'igers', 'mondaymotivation', 'home']",121.25,k mean cluster 41,[],0.0,levenshtein cluster 41,"['jp', 'uae', 'fun', 'bf', 'flir', 'feuer', 'öbb', 'fruit', 'dxb', 'atp', 'duft', 'red', 'moon', 'usa', 'em', 'fruits', 'frucht', 'blue', 'fruity', 'town']",41.0,,,
community cluster 42,"['sunflower', 'sunday', 'springvibes', 'weekendmood', 'weekendvibes', 'smile', 'weekend', 'igersaustria', 'instagood', 'sunshine', 'friday', 'sunset', 'photography', 'happyme', 'autumn', 'happyweekend', 'happygirl']",139.14999999999998,k mean cluster 42,"['wetter', 'blacklivesmatter']",7.6,levenshtein cluster 42,"['nebel', 'bts', 'flir', 'dell', 'desert', 'öbb', 'gala', 'razer', 'ikea', 'atp', 'boss', 'desserts', 'beer', 'gin', 'em', 'TOP', 'cpu', 'vfx', 'dessert']",30.450000000000003,,,
community cluster 43,"['instadaily', 'sunday', 'weekendmood', 'smile', 'instagood', 'weekend', 'igersaustria', 'sunshine', 'friday', 'sunset', 'photooftheday', 'photography', 'happysunday', 'sundayfunday', 'happyweekend', 'weekendvibes', 'igers']",144.89999999999998,k mean cluster 43,[],0.0,levenshtein cluster 43,"['view', 'dec', 'team', 'review', 'bmw', 'snow', 'nye', 'newin', 'see', 'soon', 'red', 'xeen', 'tee', 'news', 'em', 'wow', 'new', 'wein', 'meow']",52.5,,,
community cluster 44,"['instadaily', 'springvibes', 'smile', 'instagood', 'igersaustria', 'weekend', 'sunshine', 'happygirl', 'sunset', 'sundayfunday', 'happysunday', 'photography', 'weekendvibes', 'igers']",126.10000000000001,k mean cluster 44,"['uae', 'giza']",3.8,levenshtein cluster 44,"['zeit', 'repost', 'bts', 'dec', 'hello', 'bye', 'cats', 'Repost', 'dell', 'best', 'rost', 'beats', 'meat', 'dp', 'a7s', 'deko', 'em', 'eis', 'dose', 'pop', 'dji']",38.0,,,
community cluster 45,"['springvibes', 'weekend', 'igersaustria', 'instagood', 'sunshine', 'tbt', 'sunset', 'photooftheday', 'photography', 'happysunday', 'happyme', 'autumn', 'rooftopparty', 'weekendvibes', 'igers', 'oldtown']",136.79999999999998,k mean cluster 45,[],0.0,levenshtein cluster 45,"['repost', 'hotel', 'nebel', 'metal', 'essen', 'bestes', 'rezepte', 'selfie', 'nissan', 'corona', 'kerzen', 'rose', 'see', 'soon', 'äpfel', 'xeen', 'moon', 'rezept', 'cover', 'veli', 'kessler']",43.699999999999996,,,
community cluster 46,"['motivation', 'nice', 'ringana', 'sofree', 'lifestyle', 'explore', 'igers', 'instadaily', 'beautiful', 'fashion', 'video', 'style', 'smile', 'memes', 'weekend', 'reels', 'ootd', 'love', 'goodmorning']",121.80000000000001,k mean cluster 46,[],0.0,levenshtein cluster 46,"['kino', 'corona', 'shoot', 'cool', 'bmw', 'corgi', 'snow', 'see', 'dog', 'shots', 'sundown', 'moon', 'sonne', 'job', 'Corona', 'vino', 'blog', 'pop', 'sunny', 'ship', 'town']",44.65,,,
community cluster 47,"['weekendmood', 'weekendvibes', 'springvibes', 'weekend', 'igersaustria', 'friday', 'sunshine', 'tbt', 'mindset', 'photography', 'happysunday', 'autumn', 'home', 'rooftopparty', 'happygirl']",125.0,k mean cluster 47,['lebanon'],1.9500000000000002,levenshtein cluster 47,"['minze', 'kino', 'singer', 'winzer', 'vino', 'vote', 'video', 'wine', 'rose', 'nike', 'singen', 'ingwer', 'vibe', 'ginger', 'foto', 'hunger']",45.6,,,
community cluster 48,"['springvibes', 'weekendvibes', 'rooftopparty', 'instagood', 'sun', 'weekend', 'sunshine', 'tbt', 'mindset', 'sunset', 'happysunday', 'flowers', 'happygirl', 'mondaymotivation']",119.60000000000001,k mean cluster 48,[],0.0,levenshtein cluster 48,"['wow', 'pool', 'pop', 'boss', 'wood', 'moon', 'bowl', 'c4d', 'soon', 'cool', 'wald', 'cold']",37.8,,,
