username,like_linda,like_karl_peter,like_sandy,like_kevin,like_martin,like_claudia,used_hashtags
cluster 32,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#newyears', '#newyearsparty', '#newyearsday', '#newyear', '#newyearseve', '#]']"
cluster 33,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#kuchen', '#kochen', '#küche', '#]']"
cluster 34,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#cookies', '#foodie', '#foodies', '#]']"
cluster 35,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#cat', '#cats', '#]']"
cluster 36,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#inlove', '#life', '#like', '#love', '#]']"
cluster 37,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#goodtimes', '#goodvibes', '#goodtime', '#goodlife', '#]']"
cluster 38,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#bier', '#best', '#beer', '#]']"
cluster 39,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#geschenk', '#geschenke', '#]']"
cluster 40,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#snacks', '#snack', '#black', '#]']"
cluster 41,0.0%,0.0%,0.0%,0.0%,16.67%,14.29%,"['#frucht', '#fruity', '#fruit', '#fruits', '#family', '#]']"
cluster 42,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#dessert', '#desserts', '#desert', '#]']"
cluster 43,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#new', '#news', '#]']"
cluster 44,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#repost', '#Repost', '#]']"
cluster 45,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#rezepte', '#rezept', '#]']"
cluster 46,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#Corona', '#corona', '#]']"
cluster 47,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#singer', '#singen', '#ginger', '#]']"
cluster 48,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#cool', '#pool', '#]']"
cluster 49,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#bye', '#nye', '#]']"
cluster 50,8.33%,0.0%,0.0%,11.11%,0.0%,0.0%,"['#travelingram', '#travel', '#studio', '#strudel', '#student', '#travelling', '#traveling', '#]']"
cluster 51,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#bay', '#bar', '#]']"
cluster 52,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#chill', '#chili', '#]']"
cluster 53,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#amazing', '#magazin', '#magazine', '#reading', '#]']"
cluster 54,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#vocalist', '#vocals', '#gala', '#goals', '#girl', '#girls', '#]']"
cluster 55,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#tarte', '#torte', '#]']"
cluster 56,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#erdbeere', '#erdbeeren', '#]']"
cluster 57,8.33%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#sports', '#shots', '#shoot', '#support', '#sport', '#split', '#]']"
cluster 58,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#mate', '#mare', '#]']"
cluster 59,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#prost', '#rost', '#rose', '#]']"
cluster 60,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#catlovers', '#carlovers', '#catlover', '#carlover', '#tealover', '#]']"
cluster 61,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#vibe', '#vibes', '#]']"
cluster 62,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#band', '#brand', '#]']"
cluster 63,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#beachwaves', '#beachday', '#beachdays', '#]']"
cluster 64,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#funny', '#sunny', '#]']"
cluster 65,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#sommerdrink', '#summerdress', '#summerdrink', '#]']"
cluster 66,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#äpfel', '#apfel', '#]']"
cluster 67,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#lgbtq', '#lgbt', '#]']"
cluster 68,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#mode', '#moda', '#]']"
cluster 69,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#dose', '#rose', '#]']"
cluster 70,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#kino', '#vino', '#]']"
cluster 71,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#tealover', '#tealove', '#]']"
cluster 72,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#quarantäne', '#quarantine', '#]']"
cluster 73,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#fair', '#flir', '#]']"
cluster 74,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#bestfriend', '#bestfriends', '#]']"
cluster 75,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#jp', '#dp', '#]']"
cluster 76,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#pyramids', '#pyramid', '#]']"
cluster 77,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#egypt', '#egipto', '#egitto', '#]']"
cluster 78,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#sailing', '#skiing', '#hiking', '#mixing', '#swimming', '#smiling', '#]']"
cluster 79,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#schneschuhwandern', '#schneeschuhwandern', '#]']"
cluster 80,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#studio', '#styria', '#cgistudio', '#cgstudio', '#]']"
cluster 81,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#austria', '#auszeit', '#style', '#klarheit', '#mahlzeit', '#styria', '#wahrheit', '#australia', '#autorin', '#italia', '#austin', '#]']"
cluster 82,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#love', '#hotel', '#home', '#]']"
cluster 83,0.0%,0.0%,0.0%,11.11%,0.0%,0.0%,"['#fotography', '#fotografie', '#photography', '#]']"
cluster 84,8.33%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#happyme', '#happy', '#]']"
cluster 85,0.0%,0.0%,14.29%,11.11%,0.0%,0.0%,"['#art', '#party', '#]']"
cluster 86,0.0%,0.0%,0.0%,0.0%,33.33%,14.29%,"['#familie', '#familytime', '#smile', '#family', '#]']"
cluster 87,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#buffet', '#coffee', '#couple', '#icecoffee', '#sofresh', '#office', '#koffein', '#sofree', '#kaffee', '#]']"
cluster 88,8.33%,0.0%,0.0%,11.11%,0.0%,0.0%,"['#spring', '#hiking', '#coaching', '#mixing', '#shooting', '#cooking', '#]']"
cluster 89,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#onset', '#kunst', '#sunset', '#]']"
cluster 90,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#italien', '#italia', '#italy', '#]']"
cluster 91,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#milch', '#smile', '#style', '#milk', '#]']"
cluster 92,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#sphinx', '#skiing', '#spring', '#]']"
cluster 93,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#shooting', '#shopping', '#]']"
cluster 94,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#greece', '#green', '#]']"
cluster 95,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#burger', '#hunger', '#]']"
cluster 96,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#cherry', '#cheers', '#]']"
cluster 97,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#sunrise', '#surprise', '#]']"
cluster 98,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#ostern', '#fottern', '#]']"
cluster 99,8.33%,0.0%,0.0%,0.0%,0.0%,14.29%,"['#local', '#vocals', '#]']"
cluster 100,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#easter', '#eistee', '#]']"
cluster 101,8.33%,0.0%,0.0%,11.11%,0.0%,0.0%,"['#cooking', '#cookies', '#]']"
cluster 102,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#refreshing', '#forest', '#fleisch', '#sofresh', '#refresh', '#frisch', '#fresh', '#]']"
cluster 103,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#running', '#berufung', '#zeitung', '#reading', '#werbung', '#wermut', '#wedding', '#relaxing', '#]']"
cluster 104,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#travelingram', '#travelgram', '#]']"
cluster 105,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#pizza', '#giza', '#]']"
cluster 106,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#nye2021', '#2021', '#2017', '#2k19', '#]']"
cluster 107,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#erfrischung', '#erfrischend', '#]']"
cluster 108,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#milch', '#beach', '#merch', '#beauty', '#beats', '#black', '#]']"
cluster 109,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#animals', '#banana', '#ananas', '#]']"
cluster 110,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#sundowner', '#sunflower', '#sundown', '#]']"
cluster 111,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#bloggerde', '#blogger', '#bloggerat', '#]']"
cluster 112,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#kerzen', '#ferien', '#feiern', '#lernen', '#]']"
cluster 113,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#gründerin', '#opening', '#rendering', '#reopening', '#]']"
cluster 114,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#fotoshooting', '#photoshooting', '#photoshoot', '#]']"
cluster 115,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#lunch', '#brunch', '#]']"
cluster 116,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#christmastree', '#christmastime', '#]']"
cluster 117,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,"['#frühstückingraz', '#frühstückeningraz', '#]']"
