username,like_linda,like_karl_peter,like_sandy,like_kevin,like_martin,like_claudia,like_best_cluster_of_all,like_best_cluster_of_top_20,used_hashtags
Vandana93575921,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#भगवदग', '#GodMorningWednesday', '#LifeSavior_GodKabir', '#TrueWorship_Of_Allah', '#FreedomFromDrugs', '#TheRealWorship']"
LampteyApril,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"5.0%, Cluster: community cluster 216","['#confidence', '#itiswell', '#masalachai', '#coffee', '#teatime', '#tealover', '#Yousef', '#selflove', '#HappyWeekend', '#Restoration', '#self', '#loyalty', '#Twitter', '#SMP']"
TheNilsay,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#پائولو_کوئلیو', '#فردای_روز_دختر', '#بهیسم', '#جنسیتزدهنباشیم', '#مردسالاری', '#sosiran', '#kardeşülke']"
elnes,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#JacquesLegros', '#13h', '#LE13H', '#LE20H']"
daria02gervi,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"5.0%, Cluster: community cluster 13","['#TheCumPipe', '#ThePissPipe', '#TheGayPipe', '#9Plus10Equals19', '#9Plus10Equals21', '#9Plus10Equals910', '#DamnDaniel', '#DaWae', '#DaBaby', '#a', '#TheChungusIsComing', '#TeamDancingCat', '#DancingCat', '#DancingFish', '#DancingRoach', '#PolishCow', '#TomboyOutBack', '#TomboyOutback', '#GothIHop', '#FemboyHooters', '#LegoIndianaJonasFazo', '#TwitterGold', '#AmongUs', '#luigi', '#mario', '#wario', '#swag', '#noswag', '#PinkFong', '#BabyShark', '#RobocarPoli', '#iflixKIDS', '#robocar_poli', '#robocarpoli', '#transformers', '#kooperday2', '#BLM', '#MonkeyMug', '#GromitMug', '#indie_anime', '#fridaynightfunkin', '#FNFGarcello', '#fnf', '#SeoS', '#smokeemoutstruggle', '#kittycatresort', '#Yancello', '#Dream', '#mytopfans', '#bobandbosip', '#VerifyCoolmathGames', '#mytopfollowers']"
raj8288kumar,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#oldagepensiondelhi', '#socialwelfareDelhi', '#socialwelfaredelhi', '#oldagepension', '#socialwelfare']"
Shakeryoussefab,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#البايرن', '#ميا_سان_ميا', '#باكماس', '#الكل_يشارك', '#الهلال_القادسية', '#صورة_ملف_شخصي_جديدة', '#TotalAFCON', '#كم_كانت_فسحتك_زمان', '#اكرامي_مع_شوبير', '#لعبتكم_مكشوفه_جددو_لساسي', '#مسابقه', '#ماي_مارت', '#ONTime_Sports', '#مساء_ONTime', '#أثق_بك_موسيماني_الأهلي_في_القلب', '#الأفضل_في_الدوري']"
DameiunHopson,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216",[]
Amandaconda00,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"5.88%, Cluster: community cluster 22","['#disabledveteran', '#chronicillness', '#chronicpain', '#spineinjury', '#dailyaffirmation', '#attractdontchase', '#takeahitofposty', '#Grammys', '#veteranshelpingveterans', '#fightthewarinsideyou', '#bikiniseason', '#sunshine', '#heresummersummersummer', '#dailygrowth', '#NewProfilePic', '#WereTexas', '#316', '#GoodTimes', '#military', '#veterans', '#ptsdawareness', '#NeverGiveUp', '#ptsdsurvivor', '#SuicidePrevention', '#TRASH', '#BOTD', '#summerbody', '#bikinioftheday', '#PoorRamzey', '#PTSDAwarenessMonth', '#disabledveterandad', '#Meanwhile', '#killedit', '#SafetyPlan', '#suicideprevention', '#PTSDCoach', '#tuesdaymotivations', '#PTSD', '#veteransuicideawareness', '#VetSuicide', '#DeadVetsDontNeedBudgets', '#VeteranSuicide', '#UnitedSadistsOfAmerica', '#SNL', '#SNL43Subscribe', '#NEXT', '#TWSS', '#JTFHaiti', '#HADR', '#1', '#8', '#QueenTheGreatest', '#cannabis', '#NORML', '#breakthecycle', '#DONDA', '#Kabul', '#RHOP', '#TrumpHasAmnesia', '#COVID19', '#DeltaVariant', '#REAL', '#BCN1', '#Echobox', '#FLHomeGame', '#AHSDoubleFeature', '#CultSadness', '#NFT', '#NFTcollection', '#NFTcollectibles', '#NFTOpenSea', '#ClimateBrawl', '#ClimateCrisis']"
butchlovesbeach,0.0%,16.67%,0.0%,33.33%,0.0%,14.29%,,"22.22%, Cluster: community cluster 153","['#shotoniphone', '#iphonephotography', '#thedailystoic', '#WarriorsGround', '#DubNation', '#Shaqtin', '#dogs', '#doglove', '#dogsoftwitter', '#pomeranians', '#poms', '#pomeraniansoftwitter', '#iphonephotograhy', '#nightphotography', '#photography', '#nature', '#naturephotography', '#HappyChineseNewYear', '#YearOfTheOx', '#LunarNewYear', '#street', '#streetphotography', '#StopAsianHate', '#MobileLegends', '#MLBB', '#Wanwan', '#Ling', '#Baxia', '#Zilong', '#Change', '#blackandwhite', '#bnw', '#bnwphotography', '#itsmorefuninthephilippines', '#proudtobepinoy', '#COVID19', '#iphone', '#iphoneography', '#iphonography', '#film', '#fx', '#1998cam', '#SOOC', '#astro', '#astrophotography', '#nightmode', '#urban', '#urbanphotography', '#Food', '#Foodie', '#cats', '#catsoftwitter', '#thecranberries', '#90s', '#higherpower', '#everydaylife', '#Caldereta', '#DMFoodSeries', '#DiscoverMNL', '#CatsOfTwitter', '#randomthoughts', '#chico', '#husky', '#lab', '#curlythepuspin', '#cat', '#shilohthepom', '#pomeranian', '#dog', '#portrait', '#portraitmode', '#jeff', '#pr', '#TokyoOlympics', '#tokyo2020', '#Tokyo2020', '#kopi', '#avis', '#lockdownseasonthree', '#dogsofinstagram', '#AngelinaJolie', '#TheEternals', '#landscape', '#landscapephotography', '#photographer', '#mountains', '#BakaNaman', '#DMTravelSeries']"
haankerr,0.0%,16.67%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#SenÇalKapımı', '#HanKer', '#EdSer', '#KeremBürsin', '#HandeErçel', '#LoveIsInTheAir', '#Maya', '#amor', '#SenCalKalpımı', '#hanker', '#Edser', '#viral', '#HandeErcel', '#SenCalKapimi', '#KeremBürsın', '#kerem', '#hande', '#EdaYıldız', '#SerkanBolat', '#mañana', '#SÇK', '#Espana', '#AyDios', '#iyikigeldinbaba', '#SenCalKapımı', '#iyikidoğdunkızım', '#KirazBolat', '#amordepadre', '#viralizame', '#kerembürsin', '#LoveIsInTheAir6J', '#MelisaDoengel', '#SenCalkapımıSezon2', '#SenCalKapmı', '#SenCalKamipi', '#BabaOlmak', '#babaolmak', '#Tokyo2020', '#Olympics', '#evlenbenimle', '#Hande', '#Covid_19', '#handemiyy', '#thebursin', '#LaReinaDelFlow2', '#LaVozKids', '#enfermeras', '#aşkkazandı', '#kahraman4381', '#SamsungUnpacked', '#hastasiempre', '#ThanksForSÇK', '#AYUDAURGENTE', '#8MforSck', '#HANBIN', '#bebekbolat', '#keremIGback', '#COVID19', '#Memes', '#SiguemeYTeSigo', '#FelizMiercoles', '#TwitchStreamers', '#Viernes', '#HashtagDay', '#BuenasNoches', '#FelizViernes', '#FelizJueves', '#FelizSabadoATodos', '#lluvia', '#LoveFridaysEnDivinity', '#Gracias', '#FelizCumpleaños', '#Hanker', '#SenÇalkapımı']"
a,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216",[]
rosie,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#MTNDEWMAJORMELON', '#MyPromotionEntry', '#LoveThyNeighborTX', '#Moshpit', '#Oscars', '#TeachersOfTwitter', '#clearthelist', '#PrimeDay', '#AmazonPrimeDay', '#teachers', '#preschool', '#WednesdayMotivation', '#LokiWednesdays', '#amazon', '#COVID19', '#SundayFunday', '#wishlist', '#DonorsChoose', '#CleartheList', '#teachertwitter', '#BacktoSchool2021', '#clearthelists', '#sundayvibes', '#SundayThoughts', '#backtoschool', '#AmazonWishList', '#tuesdayvibe', '#education', '#MondayVibes', '#MakeItHappenMonday', '#mondaythoughts', '#Amazon', '#CLEARTHELIST', '#clearthelistFeaturing', '#donorschoose', '#BlackWidow', '#ThursdayThoughts', '#TokyoOlympics', '#ElonMusk', '#doge', '#fridaymorning', '#School2021', '#BacktoSchool', '#SharkWeek', '#heatwave', '#FearStreet', '#thursdayvibes', '#thursdaymorning', '#teacher', '#school', '#learning', '#AdoptATeacher', '#teacherwishlist', '#LoveIsland', '#dogecoin', '#5Gsfor5G', '#Contest', '#MXTX', '#NieHuaiSang', '#MDZS', '#Sangcheng', '#niebros']"
gh3,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#إيراق', '#القدس_ينتفض', '#صورة_جديدة_للملف_الشخصي', '#حميدان_التركي']"
amichelec,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#fortheH', '#SpringerDingers', '#4everAstro', '#TokyoParalympics', '#WinterCup', '#ForTheCity', '#MarchMadness', '#teamusa', '#gold', '#TeamUSA', '#Gold', '#TokyoOlympics', '#hmong', '#MentalHealthMatters', '#TheBachelorette', '#TheBacheloretteFinale']"
shadysigama,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#Ngazwitukungazwituku', '#Somethingtotell', '#Brightfutures', '#Ownyourmoment', '#RunningWithTumiSole', '#RunningWithLulubel', '#WiththeLegend', '#MorningRunwithShady', '#run10kmovement', '#4MountainsTrailChallenge', '#38', '#5years', '#Run10kMovement', '#RunwithShady', '#TeaPreneur', '#Flattummy', '#BodyMakeover', '#Glow', '#VSteam', '#Stallions', '#Maximiseyourpotential', '#FetchYourBody2021', '#Finishing2021Healthy', '#SundayTherapy', '#Legends', '#Lazarusturns40', '#Runbetter', '#EswatiniLivesMatter']"
COROIGABRIELA,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#nefesimsin', '#sendenönceben', '#edabolat', '#sendenoenceben', '#SenCalKamipi', '#KeremBürsin', '#resmanaşığım', '#HandeErçel', '#EdSer', '#Mfyapimtv', '#Romania', '#kokundaașkvar', '#SenÇalKapimi', '#aşkyasak', '#așkyasak', '#SenÇalKapımı', '#kokundaaşkvar', '#Edser', '#HanKer', '#AskYasak', '#senbenimdűnyamsin', '#senbenimdünyamsın', '#KeremBűrsin', '#Sençalkapimi', '#büyükaşk', '#büyükașk', '#shortyawards', '#hatırlıyorum', '#hatirliyorum', '#Hanker', '#yenidenbuluşacağız', '#yenidenbuluşacağiz', '#yenidenbulusacağız', '#SCK2Sezon', '#KeremBűrsinENBBVA', '#yenidensçk', '#aşktankaçma', '#MultuYaşlarKeremBűrsin', '#GüzelAwards', '#asktankacma', '#SenCalkapımıSezon2', '#iyikigeldinbaba', '#evlenbenimle', '#KeremBürsın', '#BoğaziciDireniyor', '#herşeyyeniden', '#bebekbolat', '#herseyyeniden', '#RengarenkOkullar']"
rashedpags,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216",[]
David48799253,0.0%,0.0%,0.0%,0.0%,16.67%,14.29%,,"5.56%, Cluster: community cluster 227","['#JohnCorbett', '#godsnotdead', '#Friday', '#PositiveVibesOnly', '#sendit', '#JAHrastafari', '#dontbringmommytothefrontlines', '#glock', '#glock38', '#NAPAAutoParts', '#NHRA', '#guns', '#glock18', '#bestmomever', '#SENDIT', '#Rastafari', '#Jah', '#MondayVibes', '#ArmyTeam', '#Ready2Fight', '#Trucking', '#TruckingDepot', '#Truckers', '#80s', '#VanHalen', '#DiamondDave', '#80srock', '#SmithandWesson', '#340PD', '#357', '#Revolver', '#Badtheory', '#Awkwafina', '#MondayMotivation', '#trucker', '#shopmycloset', '#SIG', '#SIGSAUER', '#NeverSettle', '#veteran', '#MedalofHonor', '#WayOfTheWaterman', '#TeamSaltLife', '#BringTheGoods', '#RockHall2021', '#FlashbackFriday', '#Mountainmusic', '#brcc', '#americascoffee', '#ArmyBDay', '#ProudtoServe', '#veterans', '#Packers', '#GoPackGo', '#ANationofSupport', '#Teammates', '#NeverForgotten', '#NeverForget', '#HonorAndRemember', '#OperationRedwings', '#Sniper', '#training', '#TrainedAndReady', '#prom', '#sisterlove', '#family', '#AngelmanSyndrome', '#AmazingMelissaGrace', '#Happiness', '#flowers', '#gardens', '#mylife', '#kissmyasscancer', '#CourtMartialBiden', '#hugs']"
NIF1306,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#dogearmy', '#dogecoin', '#Cardano', '#CardanoCommunity', '#CardanoADA', '#XLM', '#Stellar', '#Geology', '#GeologyPage', '#Meganeura', '#Fossil', '#ada', '#cardano']"
SatrajitBanerji,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#auctions', '#teaauctions', '#evening', '#tea', '#NorthEast', '#Darjeeling', '#indiantea', '#teatime', '#indiatea', '#firstflush', '#NeerajChopra', '#NeerajGoldChopra', '#IndiaTodayAtOlympics', '#Olympicsindia', '#LimitedEdition', '#teastory', '#AfganistanBurning']"
EternalWithGod,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216",[]
rockyrowland88,0.0%,16.67%,0.0%,0.0%,16.67%,14.29%,,"5.26%, Cluster: community cluster 538","['#Hometeam', '#XboxSeriesX', '#nextgenonly', '#fortnitesnipinglegend', '#skyuniverse', '#SkyUniverse', '#PositiveVibes', '#energy', '#goodmorning', '#twitchcommunity', '#gangnamstyle', '#memes', '#Fortnite', '#XboxShare', '#xbox', '#StarWarsBattlefrontII', '#TwitchStreamers', '#twitchaffiliate', '#RogueCompany', '#twitchstreamer', '#twitch', '#razeenergy', '#clutched', '#razerebellion', '#fortnite', '#IrishStreamer', '#TwitchAffiliate', '#SmallStreamer', '#Twitter', '#flex', '#quote', '#believe', '#family', '#hype', '#RocketLeague', '#positivemind', '#hometeam', '#positivity', '#skyfam', '#raptors', '#FortniteSeason6', '#TwitchAffliate', '#smallstreamer', '#100thieves', '#ApexLegends', '#cornwall', '#PinkSupermoon', '#stmichaelsmount', '#gameofthrones', '#PathToAffiliate', '#AMAZING', '#Warzone', '#warzone', '#HOMETEAM', '#Live', '#outriders', '#TWITCH', '#smallstreamers', '#Cornwall', '#pasty', '#kernow', '#Xbox20', '#E32021', '#Xbox', '#XboxGamePassUltimate', '#twitchaffliate', '#LittleNightmares', '#XboxBethesda', '#marshmellowskin', '#postpictures', '#gamingpc', '#Ranked', '#xboxseriesx', '#free', '#twitchstreaming', '#FIRST', '#krakenFam', '#krakenFAM', '#HaloInfinite', '#wtfmoments', '#hilarious', '#keeptwitchsafe', '#MUFC', '#UCL', '#FlashbackFriday', '#rebirth']"
jake,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216",[]
JameswarMahasu1,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216",[]
AmyMorgenstern2,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216",['#FLHomeGame']
dvasgu,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#Prayer', '#hrperspective', '#WomeninSPORT', '#onwardsandupwards', '#RegisterToVoteZW', '#BSR', '#butsuyebasa', '#coronavirus', '#TrueStory', '#AgroKings', '#HaanaPlan', '#Zimbabwe', '#Harare', '#CatchAndRelease', '#ItStartsWithTheRightSeed', '#fridaymorning', '#grateful', '#DoGreatThingsEveryDay', '#BeTheChange', '#LetsTalk']"
1MWk7NNZ1MZiGMY,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#半妖の夜叉姫', '#理とわ', '#ritowa', '#rikowa', '#Yashahime', '#ウルトラマン', '#ウルトラセブンアマギ', '#ビンフルヤ', '#夢少年', '#nonko40th', '#日髙のり子', '#高橋洋子', '#angela', '#山口勝平', '#林原めぐみ', '#佐久間レイ', '#紡木吏佐', '#進藤あまね', '#アルスマグナ', '#清水信之', '#NonFes']"
monetmiah,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#michaeljackson', '#aaliyah', '#rt']"
jp,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#GIVEAWAY', '#IbottaShareMoreGiveaway', '#layngo', '#makeup', '#giveaway', '#DesNUDEas', '#CashAppFriday', '#FINALLY21', '#Sweepstakes', '#LegionAvengers', '#IPSY', '#Givaway', '#ipsy', '#purecosmetics', '#MarioSwitchGiveaway', '#PS5Cash', '#sweepstakes', '#KlondikeConeZone', '#IWouldDoANYTHINGForAKlondikeConeZoneSweepstakes', '#Giveaway', '#giveawayalert', '#DietzNutsSack', '#pringlesspacedrop', '#cont', '#tmobiletuesday', '#contest', '#TMobileTuesdays', '#contests', '#5Gsfor5G', '#NattySweepstakes', '#MahomesZoneSweepstakes', '#SBLV', '#MTNDEWMAJORMELON', '#MyPromotionEntry', '#Coming2America', '#FastFoodies', '#FarewellMadea', '#TheOvalOnBet', '#FastFoodiesFund', '#theovalonbet', '#CashAppBitcoin', '#FreebieFriday', '#PixarSoul', '#GroovesBreakEntry', '#ScorchinIsland', '#PeakWhiteCheddar', '#ZestyDudeRanch', '#PixarSweeps', '#SaltyReeses', '#RewardingMadness', '#Promotion', '#InvestInRest', '#generation', '#PROMO', '#SnapPromo', '#NikitaUnfiltered', '#INVESTINYOU', '#cashappstocks', '#fingerscrossed', '#partner', '#15YearsofMiley', '#cashapp', '#FREEBIEFRIDAY', '#VonMaur', '#ShoppingPerfected', '#intimatesweek', '#wacoalwoman', '#MoneyGramAppDay', '#MoneyGramMonday', '#moneygrammonday', '#BushBeerMoney', '#WithoutRemorse', '#everyactioncounts', '#TSxCapitalOne', '#NattySummer', '#FreezeTheMoment', '#TurkeyHill', '#NattySour1K', '#MareOfEasttown', '#HBOGiveaway', '#DisneyPlus', '#StreamingDay', '#DisneyBundle', '#teamadidas', '#BudLightStimmyTix', '#TubiAniMay', '#FreeLikeTubiSweepstakes', '#SuccessAnywhere', '#Entry', '#Steelers', '#TakeSummerByTheCoolers', '#Budlight', '#CostwayFBgiveaway', '#VenmoMe', '#Thankiversary', '#PricelessSurprises', '#TYT', '#Salonpas', '#SalonpasStrong', '#salonopasstrong', '#godzillavsKong', '#TieDyeTakeover', '#TyeDyeTakeover', '#BushToTheMoon', '#ULTRATinkerDrop', '#BoardYourGear', '#attexplore', '#BossBabySweepstakes', '#PeacockTV', '#CashAppExtraCredit', '#VenmoItForward', '#venmoitforward', '#JungleCruise', '#DashToSchool']"
Creepersrock24G,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#gta6', '#leak', '#Fortnite', '#NintendoDirect', '#SmashBrosUltimate', '#NintendoSwitch', '#FNAF', '#FNAFAR', '#Illumix', '#SpecialDelivery', '#AR', '#MR', '#DarkCircus', '#BlastfromthePast', '#gaming', '#whosnext', '#FanFriday', '#FanArt', '#JWGameFanArt', '#VR', '#newstory', '#grandma', '#FortnitePrimal', '#WickedTides', '#wicked', '#DarkWaterBareEndo', '#deepdown', '#BareEndo', '#ifyoudare', '#476', '#GTAOnline', '#RockstarGames', '#SecretShadowz', '#WTFarCry', '#HotSaucersLeaks']"
KingSissou,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#Ask_Saud', '#ElgatoMe', '#فوازير_ساندستورم', '#KylieJenner', '#EURO2020', '#PixarLuca', '#Hirak', '#Elite4', '#juldanslazizicacamixtape', '#Algeria', '#فلسطين', '#akaxradiozeta', '#Fortnite', '#fncs', '#FortniteCompetitive', '#FortniteConcept', '#Algerie', '#Warzone', '#dz', '#ElgatoME', '#FalconsAreHere', '#فالكون_بندريتا']"
therealJeffWein,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#CMBYN', '#partner', '#nextlevel']"
MalungaAmbrose,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216",[]
artovingram,0.0%,0.0%,14.29%,22.22%,0.0%,0.0%,,"15.79%, Cluster: community cluster 526","['#artistsontwitter', '#art', '#oilpainting', '#naturelover', '#gifts', '#homedecor', '#landscape', '#NaturePhotography', '#shop', '#SmallBusiness', '#Illinois', '#FreeMugFriday', '#3', '#Museums', '#History', '#photography', '#stacksats', '#Democrats', '#GOTV', '#VoteBlue', '#DemsWork4USA', '#Spoke', '#PRSDA', '#BuschDirtCar', '#Sweepstakes', '#cashappinbio', '#BuyAmerican', '#JointAddress', '#BuyAmericanmade', '#abstractart', '#home', '#FollowTheMoney', '#trumpisguilty', '#PresidentialAddress', '#AmericanJobsPlan', '#SaltNPepa', '#PushIt', '#Remastered', '#LauraBellBundy', '#GiddyOnUp', '#Vevo', '#Leggings', '#designer', '#SaturdayMorning', '#Canada', '#yoga', '#women', '#thursdayvibes', '#beachlife', '#SaturdayMotivation', '#wicked', '#burningman', '#Modern', '#SundayThoughts', '#NewTrader', '#sunset', '#puzzle', '#sunsets', '#tuesdayvibe', '#retrocommercials', '#vintagecomercials', '#pizzaLooking', '#design', '#fabrics', '#furniture', '#ClothingBrand', '#DaniFilth', '#outdoors', '#photooftheday', '#photographer', '#FridayFeeling', '#cashapp', '#bitcoin']"
getmsell,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"10.0%, Cluster: community cluster 16","['#FMCG', '#SaaS', '#Amazon', '#AmazonPrime', '#FamilyMan', '#India', '#Salesforce', '#getmsell', '#msell', '#solution', '#retailindustry', '#retail', '#beverage', '#InternationalYogaDay', '#yoga', '#YogaDay2021', '#india', '#worldblooddonorday', '#fmcg', '#cpgindustry', '#saas', '#sfa', '#sales', '#software', '#problem', '#coronavirus', '#CoronaPandemic', '#COVID19', '#Covid_19', '#COVID', '#selfie', '#attendance', '#cpg', '#Sales', '#AUTOMATION', '#Retail', '#tuesdayvibe', '#tuesdaymotivations', '#ConsumerGoods', '#REVOLUTION', '#QandA', '#Marico', '#SagutaGupta', '#Packaging', '#Dabur', '#court', '#earning', '#results', '#growth', '#covid', '#pandemic', '#secondwave', '#Kiranas', '#markets', '#reports', '#productivity', '#beverages', '#growthmantra', '#retailers', '#RetailTech', '#seamless', '#productive', '#health', '#HatsunAgro', '#retailtech', '#Trends', '#retailsales', '#commercialrealestate', '#Fmcg', '#Rakhi2021', '#Rakshabandhan', '#HappyRakshaBandhan', '#Components', '#retailX2021', '#retailproblems', '#consumer', '#goods', '#business', '#Poll', '#automation', '#salesforce', '#Website', '#launch', '#retailnews', '#AreYouEven', '#potentialunlocked', '#salesforceautomation', '#Productivity', '#revenue', '#Tokyo2020', '#NeerajChopra', '#goldmedal', '#Gold', '#olympischespelen']"
Afiato,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216",[]
Bruce19662,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"5.88%, Cluster: community cluster 22","['#HostessSnacks', '#Valentine', '#ValentinesDay', '#CupCake', '#CupCakes', '#Chocolate', '#DarkChocolate', '#DarkChocolateRaspberry', '#LimitedEdition', '#Love', '#TreatYourself', '#SelfLove', '#EmmyNoms', '#MLBatFieldofDreams', '#OhBoy']"
Junior32586636,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216",[]
stephenmschmidt,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216",[]
abdlerohman,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216",[]
DoramiGr8,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216",[]
Nconner2k19,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#TheKingandAD', '#TheBeardandWestbrook', '#pvamu', '#TheGirlInThePic']"
DreadedUpOtaku,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"11.76%, Cluster: community cluster 955","['#NewYear', '#SnoopNYE', '#TCL', '#CES2021', '#ExperienceMore', '#TCLCES2021', '#3DaysToGo', '#BudLightSeltzerSessions', '#502Ky', '#Cyhi', '#HappyValentinesDay', '#XboxSeriesX', '#XboxSeriesS', '#GamerDad', '#Xbox', '#DadLife', '#ApexLegends', '#XboxShare', '#GRAMMYs', '#SoundBar', '#EnjoyMore', '#PowerYourDreams', '#VERZUZ', '#Raekwon', '#Ghostface', '#WuTang', '#SoupPot', '#XboxDrop', '#X915', '#BethesdaSweepstakes', '#BestofTweets', '#GodfatherOfHarlem', '#MtWestmore', '#TrillerFightClub', '#XboxFanFest', '#XboxGear', '#SmackDown', '#SDLive', '#ILikeDat', '#CluLambo', '#IAmFish', '#Madewithunity', '#FarCry6', '#gaming', '#nerds', '#CluCoin', '#CluCoinRise', '#XboxBethesda', '#Xbox20', '#verzuztv', '#WendysFrostyccinoIsColdBrewWithFrostyCreamer', '#CluCoinArmy', '#HBDTrover', '#XboxGamePass', '#NappyBoyPodcast', '#HaloInfinite', '#XboxShowcaseExtended', '#LikeDis', '#sexdrugsandsushi', '#NappyBoy', '#SuckAButt', '#XGPDBDsweepstakes', '#DeadByDaylight', '#HaloInsider', '#TeaWithCousinT', '#IBringTheFlavor', '#IBringRefreshments', '#IBringAGift', '#MITB', '#KentuckyFriedFalcon', '#Win', '#WWERaw', '#RollingLoudMiami', '#RollingLoud', '#NappyBoyEnt', '#DONDA', '#WIN', '#PLAYSTATION5', '#COMPETITION', '#YouTube', '#DrinkChamps', '#NappyBoyRadioPodcast', '#GamingAudio', '#TIDAL', '#SuperCombine', '#Halo', '#SummerSlam', '#SANTOILESO', '#SelfMade']"
ScrewiesTattoo,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216",[]
momto4laws,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"5.88%, Cluster: community cluster 22","['#VolvoSafety', '#CountdownEntry', '#GuacFood', '#GuacFromMexico', '#Sweepstakes', '#TUMSBingoSweepstakes', '#TailgatingWithOtterbox', '#CowboysNation', '#attexplore', '#sweepstakes', '#Bestof2021Sweepstakes', '#TournamentOfChampions', '#OptInSweepstakes', '#PeakWhiteCheddar', '#GroovesBreakEntry', '#ScorchinIsland', '#ZestyDudeRanch', '#StellaMutual', '#TaxSeason', '#AAdvantage40th', '#giveaway', '#GetOutsideWithEvolve', '#HardRockRMTripSweepstakes', '#LiptonTogetherSweepstakes', '#RunForULTRA', '#SmartyPigSummerCamp', '#THINSProtectionProgram', '#ThinsProtectionProgram', '#SupportYourParks', '#YearOfWishes', '#free', '#Bonfire', '#firepit', '#fireplace', '#camping', '#tailgating', '#lake', '#beach', '#outdoors', '#outdoorliving', '#fire', '#BBQ', '#bbqlife', '#summer', '#Summer2021', '#NationalBratwurstDay', '#5GBuiltRight', '#EndlessPossibilities']"
Globalcrypto5,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216",['#newgold']
Drumiskl,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#randomActsOfKindness', '#nft']"
