username,like_linda,like_karl_peter,like_sandy,like_kevin,like_martin,like_claudia,like_best_cluster_of_all,like_best_cluster_of_top_20,used_hashtags
opti,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#MiAirCharge', '#InnovationForEveryone', '#RTV', '#News', '#Rtvnews', '#Rtvonline', '#Breaking_news', '#RDC', '#news_update', '#Bangladesh', '#Tawakkalna', '#VIDEO', '#RiyadhMetro', '#Saudi', '#HearTheVoiceOfMyanmar', '#RespectOurVotes', '#Israel', '#PoriMoni', '#Jaforullah', '#DigitalTransformation', '#industrial', '#podcast', '#technology', '#motorolaedge20fusion', '#FindYourEdge']"
athensmcyt,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216",[]
kingkeith27,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#favoritelyrics', '#lifelong', '#theworldwillneverknow', '#nervousaf', '#pride', '#KUWTK', '#NewProfilePic', '#nonewfriends', '#1', '#unlimetedkfc']"
MischievousPapi,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#EasterEggs', '#BeaconEaster', '#EasterHunt', '#HotCrossBuns', '#GOFOLLOW', '#TittyTuesday', '#BigBabii', '#BangABBW', '#ScorpionBurger', '#BanzaiBurger']"
GhadaSamirSayed,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216",[]
Azteccherokeeg1,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216",[]
SugeriEdit,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216",[]
chefbake14,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#BudLightCelly', '#BillsCelly', '#BrownsCelly', '#BucsCelly', '#Cuomo', '#BillsMafia', '#Bills', '#Dolphins', '#Vikes', '#TBT', '#ToppsSeries1RipParty', '#Update', '#FLX', '#coronavirus', '#LabattSweeps', '#GME', '#XboxGameClub', '#GIVEAWAYIt', '#GoBills', '#RobinHood', '#dogecoin', '#ROC', '#Billsmafia', '#Giveaway', '#Ilovepralines', '#BillsFan', '#RIPButchReed', '#freecodefridaycontest', '#FreeCodeFridayContest', '#ToppsSeries1', '#Topps', '#UndergroundGivesBack', '#HobbyBox', '#Coming2America', '#giveaway', '#PolarSeltzer', '#5Gsfor5G', '#contest', '#Contest', '#wwesmackdown', '#MagentaMAX', '#WinterCon21', '#Sabres', '#KenGriffeyJr', '#throwshine', '#CuomoResign', '#AEW', '#AEWRevolution', '#GeneralHospital', '#AEWrevolution', '#WWEFastlane', '#NCAATournament', '#OralRoberts', '#Lowdown', '#WMTShirtChallenge', '#DBDAYCATION', '#WrestleMania', '#WrestleMania37', '#Patriots', '#DaunteWright', '#WWE', '#WWEHOF', '#IMPACTRebellion', '#LetsGoBuffalo', '#RJ50', '#2021NFLDraft', '#THFC', '#COYS', '#WinPralinesWednesday', '#WithoutRemorse', '#winpralineswednesday', '#UpperDeck', '#Oilers', '#whodoyoucollect', '#Draft', '#NFLTwitter', '#NFLDraft', '#MLB', '#Baseball', '#MakeItMajor', '#Dodgers', '#TeamChipClip', '#TeamRubberband', '#emptybag', '#80s', '#thehobby', '#Roku', '#ParksAndRec', '#TubiAniMay', '#FreeLikeTubiSweepstakes', '#WWENXT', '#InYourHouse', '#NewEnglandPatriots', '#DingDingDing', '#Sober', '#StanleyCup', '#FreelikeTubiSweepstakes', '#Tubi90s', '#MakeATripToMars5x', '#RowAcrossEarth15x', '#ScaleEverest54x', '#mlbAllStarGame2021', '#BossBaby', '#dariuscrooks', '#Olympics2021', '#Unity22', '#ChickenWingTrivia', '#Sweeps', '#sweeps', '#NationalChickenWingDay', '#Giants', '#WWERaw', '#SummerSlam', '#Bitefest']"
Parzival2118,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#MTGKHM', '#mtg', '#Pokemon25', '#TransDayOfVisibility', '#ICFCTEKKEN', '#morningXayah', '#WePlayUFL', '#FGC', '#CEO2021', '#NRSWaitingRoom', '#1', '#JuicyReturns', '#8', '#MyTwitterAnniversary', '#LOZAALEXANDER', '#DEAR', '#TOMMACDONALDpurchase', '#ceowaitinglist']"
TREaglesfan,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#Eagles', '#NameThatTune', '#amwriting', '#sixwordstory', '#EaglesTwitter', '#SuperBowl', '#Yourhonor', '#FlyEaglesFly', '#Giants', '#Titans', '#NFLDraft', '#Cowboys', '#Phillies', '#sixers', '#RingTheBell', '#Sixers', '#Math', '#Bills', '#Colts', '#Vikings']"
