community_clusters,hashtags_of_community_clusters,score_of_community_clusters,silhouette_score_of_community_cluster
community cluster 43,"['valentinesday', 'explore', 'italy', 'australia', 'summer', 'austria', 'memories']",28.125,-0.14285714285714282
community cluster 44,"['nurheute', 'valentinesday', 'holiday', 'love', 'nature', 'photography', 'graz', 'tea']",76.0,-0.125
community cluster 45,"['valentinesday', 'explore', 'animals', 'sunshine', 'life', 'sunset', 'happyme', 'vacationmode']",47.0,-0.09722222222222221
community cluster 46,"['blackouttuesday', 'explore', 'travelphotography', 'travel', 'nature', 'history', 'photography', 'happyme']",68.0,-0.07777777777777778
community cluster 47,"['view', 'friends', 'explore', 'travelgram', 'inlove', 'graz', 'sun', 'sea']",48.0,-0.23245614035087717
community cluster 48,"['explore', 'sunshine', 'happyplace', 'love', 'sunset', 'happyme', 'greece']",59.625,0.06666666666666671
community cluster 49,"['friends', 'travelgram', 'travel', 'nature', 'photography', 'graz', 'sun', 'happyme']",80.0,-0.19607843137254904
community cluster 50,"['nature', 'tea', 'happyme', 'italy', 'blacklivesmatter', 'austria', 'summer', 'philippines']",40.0,-0.2941176470588235
community cluster 51,"['friends', 'travelphotography', 'travel', 'nature', 'photography', 'graz', 'tea', 'sea']",77.0,-0.2807017543859649
community cluster 52,"['holiday', 'animals', 'sunshine', 'stayhome', 'love', 'tea', 'sunset', 'vacationmode']",68.0,-0.25000000000000006
community cluster 53,"['blackouttuesday', 'travelphotography', 'travel', 'nature', 'history', 'photography', 'sun', 'sea']",75.0,-0.08791208791208788
community cluster 54,"['view', 'friends', 'holiday', 'travelgram', 'nature', 'inlove', 'graz', 'greece']",57.0,-0.2886178861788617
community cluster 55,"['animals', 'sunshine', 'love', 'nature', 'life', 'sunset', 'vacationmode', 'dream']",68.0,-0.14930555555555555
community cluster 56,"['blackouttuesday', 'love', 'graz', 'vacationmode', 'italy', 'blacklivesmatter', 'austria']",48.375,-0.011904761904761862
community cluster 57,"['view', 'blackouttuesday', 'travelgram', 'travel', 'inlove', 'sun', 'sunset', 'dream']",52.0,-0.37943262411347517
community cluster 58,"['blackouttuesday', 'sunshine', 'travel', 'life', 'italy', 'austria', 'philippines']",42.75,-0.07606679035250465
community cluster 59,"['friends', 'travelphotography', 'travelgram', 'travel', 'history', 'photography', 'vitaminsea', 'inlove']",62.0,-0.34920634920634924
community cluster 60,"['travel', 'stayhome', 'love', 'history', 'graz', 'sunset', 'vacationmode', 'greece']",64.0,-0.18604651162790703
community cluster 61,"['view', 'travelphotography', 'travelgram', 'love', 'history', 'sun', 'vacationmode', 'sea']",65.0,-0.4391025641025641
community cluster 62,"['travelphotography', 'sunshine', 'history', 'life', 'sunset', 'austria', 'summer']",29.25,-0.24494382022471917
community cluster 63,"['view', 'friends', 'travelphotography', 'travelgram', 'photography', 'graz', 'sun', 'sea']",62.0,-0.4391025641025641
community cluster 64,"['travelphotography', 'holiday', 'italy', 'love', 'photography', 'vacationmode', 'greece']",85.5,-0.13846153846153852
community cluster 65,"['view', 'friends', 'travelgram', 'love', 'photography', 'graz', 'sun', 'sea']",76.0,-0.2708333333333333
community cluster 66,"['nurheute', 'animals', 'happyplace', 'sunshine', 'stayhome', 'photography', 'sunset', 'vacationmode']",52.0,-0.1403508771929824
community cluster 67,"['life', 'photography', 'india', 'italy', 'australia', 'summer', 'austria', 'philippines']",34.0,-0.38775510204081637
community cluster 68,"['friends', 'travelgram', 'stayhome', 'love', 'graz', 'vacationmode', 'greece', 'sea']",63.0,-0.14583333333333334
community cluster 69,"['animals', 'vitaminsea', 'sunset', 'sun', 'italy', 'austria', 'sea', 'philippines']",43.0,-0.1312056737588653
community cluster 70,"['friends', 'travelgram', 'vitaminsea', 'graz', 'inlove', 'sun', 'summer']",38.25,-0.18272425249169444
community cluster 71,"['sunshine', 'happyplace', 'love', 'life', 'sun', 'vacationmode', 'austria', 'greece']",58.0,-0.119047619047619
community cluster 72,"['friends', 'holiday', 'love', 'inlove', 'graz', 'sun', 'italy', 'greece']",71.0,-0.04651162790697687
community cluster 73,"['view', 'travelgram', 'love', 'inlove', 'graz', 'sunset', 'vacationmode', 'greece']",56.0,-0.32170542635658916
community cluster 74,"['view', 'sunshine', 'life', 'inlove', 'india', 'austria', 'summer']",22.5,-0.24242424242424238
community cluster 75,"['friends', 'travelgram', 'love', 'inlove', 'graz', 'greece']",57.5,-0.08482142857142869
community cluster 76,"['friends', 'sunshine', 'travelgram', 'life', 'sunset', 'vacationmode', 'austria', 'summer']",44.0,-0.21153846153846162
community cluster 77,"['friends', 'holiday', 'animals', 'sunshine', 'love', 'graz', 'sunset', 'greece']",67.0,-0.06818181818181822
community cluster 78,"['friends', 'life', 'graz', 'india', 'austria', 'summer', 'philippines']",22.5,-0.09890109890109897
community cluster 79,"['nurheute', 'holiday', 'stayhome', 'love', 'graz', 'sunset', 'vacationmode', 'greece']",61.0,-0.020000000000000052
community cluster 80,"['sunshine', 'animals', 'holiday', 'graz', 'greece', 'australia', 'dream', 'austria']",31.0,-0.16987179487179485
community cluster 81,"['summer', 'holiday', 'love', 'sunset', 'vacationmode', 'greece']",67.5,-0.21875000000000006
community cluster 82,"['sunshine', 'holiday', 'love', 'life', 'india', 'austria', 'summer']",48.375,-0.05128205128205124
community cluster 83,"['animals', 'happyplace', 'sunshine', 'love', 'sunset', 'vacationmode', 'austria', 'summer']",49.0,-0.18333333333333343
community cluster 84,"['nurheute', 'italy', 'animals', 'stayhome', 'sunset', 'vacationmode', 'australia', 'austria']",38.0,-0.0925925925925926
community cluster 85,"['throwback', 'stayhome', 'vollfein', 'supportyourlocal', 'verrücktnachmarry', 'philippines']",42.5,-0.2727272727272727
community cluster 86,"['summer', 'sunshine', 'animals', 'sunset', 'vacationmode', 'dream']",36.25,-0.21875000000000006
community cluster 87,"['sunshine', 'animals', 'sunset', 'india', 'italy', 'austria', 'summer']",31.5,0.0
community cluster 88,"['sunshine', 'animals', 'life', 'india', 'austria', 'summer']",20.0,-0.005376344086021486
community cluster 89,"['werbung', 'productdesign', 'india', 'italy', 'australia', 'dream', 'austria', 'creative']",23.0,-0.20754716981132074
community cluster 90,"['summer', 'happy', 'happiness', 'sunday', 'beach', 'italy', 'happyweekend', 'croatia']",54.0,-0.2708333333333333
community cluster 91,"['home', 'happy', 'summervibes', 'weekendmood', 'friday', 'instagood', 'happyme', 'sunnydays']",65.0,-0.36000000000000004
community cluster 92,"['happy', 'photography', 'verrucktnachmarry', 'tbt', 'sunset', 'happysunday', 'weekendvibes', 'weekend']",67.0,-0.38596491228070173
community cluster 93,"['sunshine', 'girlstrip', 'flowers', 'happy', 'homeoffice', 'mondaymotivation', 'sun', 'autumn']",51.0,-0.24269005847953207
community cluster 94,"['girlstrip', 'home', 'happiness', 'summervibes', 'roadtrip', 'beach', 'croatia', 'igersaustria']",68.0,0.01818181818181812
community cluster 95,"['girlstrip', 'flowers', 'sunset', 'roadtrip', 'happysunday', 'mindset', 'rooftopparty']",41.625,-0.05539358600583082
community cluster 96,"['summer', 'happiness', 'summervibes', 'roadtrip', 'beach', 'sundayfunday', 'croatia', 'igersaustria']",62.0,-0.33962264150943394
community cluster 97,"['sunshine', 'home', 'autumn', 'photography', 'roadtrip', 'tbt', 'mindset', 'weekend']",59.0,-0.18553459119496848
community cluster 98,"['flowers', 'summervibes', 'homeoffice', 'croatia', 'sun', 'roadtrip', 'summer']",65.25,-0.12244897959183668
community cluster 99,"['summer', 'sunflower', 'happiness', 'summervibes', 'sunday', 'beach', 'happyweekend', 'croatia']",56.0,-0.23913043478260868
community cluster 100,"['photooftheday', 'home', 'smile', 'summervibes', 'happygirl', 'friday', 'igers', 'igersaustria']",66.0,-0.13924050632911406
community cluster 101,"['summervibes', 'weekendmood', 'verrucktnachmarry', 'tbt', 'sunset', 'happyme', 'springvibes', 'rooftopparty']",51.0,-0.33802816901408445
community cluster 102,"['sunshine', 'autumn', 'summervibes', 'oldtown', 'photography', 'weekendvibes', 'mindset', 'weekend']",71.0,-0.20061728395061726
community cluster 103,"['summer', 'flowers', 'happiness', 'summervibes', 'mondaymotivation', 'beach', 'sun', 'croatia']",65.0,-0.30000000000000004
community cluster 104,"['sunflower', 'happiness', 'sunday', 'beach', 'krk', 'sundayfunday', 'happyweekend', 'summer']",33.0,-0.11578947368421046
community cluster 105,"['summer', 'happygirl', 'smile', 'weekendmood', 'springvibes', 'friday', 'igers', 'igersaustria']",39.0,-0.3269230769230769
community cluster 106,"['oldtown', 'verrucktnachmarry', 'happysunday', 'weekendvibes', 'mindset', 'summer', 'sunnydays', 'weekend']",35.0,-0.28358208955223885
