community_clusters,hashtags_of_community_clusters,score_of_community_clusters,silhouette_score_of_community_cluster
community cluster 2039,"['sunrise', 'beautifulday', 'newyear', 'feliznavidad', 'ınstagood', 'graz', 'igersgraz', 'moda']",41.0,-0.3040935672514619
community cluster 2040,"['holiday', 'bellaitalia', 'icetea', 'igersgraz', 'goodmood', 'photoshooting', 'tuscany', 'afterwork']",56.0,-0.2909090909090909
community cluster 2041,"['christmas', 'feliznavidad', 'merrychristmas', 'tea', 'igersgraz', 'shooting', 'igersaustria', 'weekend']",74.0,-0.0925925925925926
community cluster 2042,"['travelphotography', 'travel', 'bellaitalia', 'vienna', 'fashionphotography', 'photoshooting', 'portrait', 'igersaustria']",63.0,-0.10909090909090913
community cluster 2043,"['holiday', 'afterwork', 'foodlover', 'sundowner', 'icetea', 'fashionista', 'tuscany', 'igersaustria']",58.0,-0.3035714285714286
community cluster 2044,"['goodmorning', 'christmas', 'feliznavidad', 'fashionlover', 'merrychristmas', 'outdoor', 'moda', 'igersaustria']",43.0,-0.14864864864864863
community cluster 2045,"['newyear', '2021', 'ınstagood', 'tea', 'fashionphotography', 'art', 'igersaustria', 'lifestyle']",52.0,-0.3833333333333333
community cluster 2046,"['breakfast', 'sunrise', 'travelphotography', 'picoftheday', 'styria', 'marryicetea', 'traveladdict', 'beauty']",53.0,-0.24615384615384622
community cluster 2047,"['sunshine', 'sundowner', 'drinklocal', 'vienna', 'icetea', 'summeroutfit', 'beauty', 'afterwork']",47.0,-0.21515151515151507
community cluster 2048,"['qualitytime', 'sunrise', 'frühlingsgefühle', 'portrait', 'venice', 'summer', 'blondhair', 'art']",37.0,-0.1044776119402985
community cluster 2049,"['goodmorning', 'tuscany', 'qualitytime', 'throwback', 'bellaitalia', 'italy', 'portrait', 'weekend']",52.0,-0.1
community cluster 2050,"['travelphotography', 'igersvienna', 'vienna', 'fashionphotography', 'moda', 'fashion', 'photoshooting', 'shooting']",53.0,-0.1659574468085107
community cluster 2051,"['goodmorning', 'travelphotography', 'throwback', 'qualitytime', 'flowers', 'summervibes', 'sundown', 'shooting']",69.0,-0.05970149253731341
community cluster 2052,"['blueeyes', 'travelphotography', '2021', 'styria', 'igersvienna', 'ınstagood', 'vienna', 'portraitphotography']",54.0,-0.36363636363636365
community cluster 2053,"['throwback', 'travel', 'sundowner', 'igersvienna', 'vienna', 'fashionista', 'photoshooting', 'weekend']",68.0,-0.09677419354838715
community cluster 2054,"['streetstyle', 'igersvienna', 'fashionlover', 'photography', 'moda', 'sunglasses', 'shooting', 'lifestyle']",49.0,-0.16417910447761191
community cluster 2055,"['qualitytime', 'newyear', '2021', 'summervibes', 'igersvienna', 'happynewyear', 'vienna', 'traveladdict']",64.0,-0.16666666666666674
community cluster 2056,"['qualitytime', 'love', 'summervibes', 'ootd', 'sunnyday', 'vienna', 'portraitphotography', 'blondhair']",77.0,-0.17808219178082196
community cluster 2057,"['throwback', 'holiday', 'travel', 'vienna', 'fashionista', 'fashion', 'photoshooting', 'croatia']",76.0,-0.034482758620689745
community cluster 2058,"['flowers', 'foodlover', 'vienna', 'photography', 'outfitoftheday', 'austria', 'shooting', 'weekend']",73.0,-0.17307692307692304
community cluster 2059,"['presents', 'christmas', 'streetstyle', 'fashionlover', 'merrychristmas', 'vienna', 'moda', 'sunglasses']",42.0,-0.2203389830508475
community cluster 2060,"['breakfast', 'goodmorning', 'beautifulday', 'feliznavidad', 'summervibes', 'xmas', 'vienna', 'lifestyle']",61.0,-0.23437499999999994
community cluster 2061,"['tuscany', 'holiday', 'throwback', 'flowers', 'bellaitalia', 'winterwonderland', 'portrait', 'weekend']",58.0,-0.1964285714285714
community cluster 2062,"['goodmorning', 'breakfast', 'qualitytime', '2021', 'happynewyear', 'tea', 'coffee', 'portrait']",53.0,-0.13698630136986303
community cluster 2063,"['throwback', 'love', 'sundown', 'sunnyday', 'throwbackthursday', 'portraitphotography', 'photoshooting', 'croatia']",55.0,-0.13846153846153852
community cluster 2064,"['presents', 'streetstyle', 'beautifulday', 'love', 'outdoor', 'healthy', 'vacation', 'sunglasses']",59.0,-0.2203389830508475
community cluster 2065,"['qualitytime', 'sundowner', 'happygirl', 'love', 'marryicetea', 'happylife', 'traveladdict', 'blondhair']",47.0,-0.06249999999999997
community cluster 2066,"['sundown', 'summervibes', 'throwbackthursday', 'moda', 'goodmood', 'photoshooting', 'shooting', 'blondhair']",40.0,-0.2786885245901639
community cluster 2067,"['breakfast', 'summervibes', 'sunnyday', 'coffee', 'blondhair', 'lifestyle']",62.5,-0.1666666666666667
community cluster 2068,"['qualitytime', 'holiday', 'sunshine', 'flowers', 'sunnyday', 'photography', 'blondhair', 'weekend']",71.0,-0.11764705882352937
community cluster 2069,"['presents', 'qualitytime', 'style', 'xmas', 'sunglasses', 'blondhair']",37.5,-0.21768707482993205
community cluster 2070,"['throwback', 'ootd', 'throwbackthursday', 'fashionista', 'moda', 'fashion', 'photoshooting', 'shooting']",44.0,-0.050847457627118675
community cluster 2071,"['qualitytime', 'travel', 'sunnyday', 'throwbackthursday', 'vacation', 'beautiful', 'fashion', 'croatia']",70.0,-0.13043478260869573
community cluster 2072,"['qualitytime', 'holiday', 'sunshine', 'flowers', 'happygirl', 'sundown', 'vacationmode', 'weekend']",62.0,-0.07692307692307702
community cluster 2073,"['qualitytime', 'beautifulday', 'styria', 'sunnyday', 'xmas', 'photography', 'traveladdict', 'summer']",52.0,-0.1044776119402985
community cluster 2074,"['blueeyes', 'sunshine', 'travel', 'style', 'sunnyday', 'xmas', 'fashionista', 'photoshooting']",47.0,-0.16949152542372883
community cluster 2075,"['streetstyle', 'sundowner', 'fashionlover', 'marryicetea', 'sunglasses', 'moda', 'fashion', 'croatia']",44.0,-0.2
community cluster 2076,"['goodmorning', 'sunrise', 'beautifulday', 'newyear', 'happynewyear', 'tea', 'vacation', 'fashion']",53.0,-0.13698630136986303
community cluster 2077,"['austria', 'fashionlover', 'photography', 'outdoor', 'summeroutfit', 'photoshooting', 'shooting', 'afterwork']",42.0,-0.36666666666666664
community cluster 2078,"['christmas', 'streetstyle', 'feliznavidad', 'style', 'merrychristmas', 'moda', 'photoshooting', 'lifestyle']",36.0,-0.10909090909090904
community cluster 2079,"['2021', 'styria', 'ınstagood', 'happynewyear', 'vacation', 'photoshooting', 'summer', 'art']",54.0,-0.3448275862068966
community cluster 2080,"['sunrise', 'sunshine', 'newyear', 'sundown', 'throwbackthursday', 'bellaitalia', 'vacation', 'tuscany']",37.0,-0.2515723270440251
community cluster 2081,"['throwback', 'travel', 'frühlingsgefühle', 'bellaitalia', 'vacation', 'beautiful', 'traveladdict']",58.5,-0.18644067796610175
community cluster 2082,"['holiday', 'throwback', 'flowers', 'bellaitalia', 'winterwonderland', 'vacationmode', 'tuscany', 'weekend']",63.0,-0.35000000000000003
community cluster 2083,"['goodmorning', 'throwback', 'bellaitalia', 'photography', 'tea', 'fashionista', 'summer', 'art']",54.0,-0.08695652173913049
community cluster 2084,"['throwback', 'travel', 'beautifulday', 'sundown', 'throwbackthursday', 'outfitoftheday', 'winterwonderland', 'weekend']",52.0,-0.16417910447761191
community cluster 2085,"['blueeyes', 'sunrise', 'throwback', 'travel', 'newyear', '2021', 'styria', 'beautiful']",67.0,-0.05769230769230772
community cluster 2086,"['christmas', 'merrychristmas', 'fashionista', 'moda', 'austria', 'shooting', 'lifestyle']",30.375,0.0
community cluster 2087,"['throwback', 'sunshine', 'sundown', 'icetea', 'beautiful', 'outfitoftheday', 'tuscany', 'weekend']",54.0,-0.09677419354838715
community cluster 2088,"['goodmorning', 'holiday', 'throwback', 'beautifulday', 'streetstyle', '2021', 'throwbackthursday', 'tea']",47.0,-0.21250000000000002
community cluster 2089,"['sunrise', 'throwback', 'styria', 'throwbackthursday', 'happynewyear', 'croatia', 'art']",64.125,-0.3461538461538461
community cluster 2090,"['sunshine', 'flowers', 'beautifulday', 'newyear', '2021', 'throwbackthursday', 'austria', 'croatia']",39.0,-0.32552083333333326
community cluster 2091,"['sunrise', 'summer', 'beautifulday', 'newyear', '2021', 'sundown', 'traveladdict', 'croatia']",30.0,-0.23717948717948717
community cluster 2092,"['presents', 'goodmorning', 'tuscany', 'holiday', 'style', 'winelover', 'goodmood', 'winterwonderland']",42.0,-0.2580645161290323
community cluster 2093,"['breakfast', 'holiday', 'foodlover', 'frühlingsgefühle', 'happylife', 'coffee', 'art']",61.875,-0.2363636363636363
community cluster 2094,"['goodmorning', 'flowers', 'beautifulday', 'sundown', 'xmas', 'vacationmode', 'tuscany']",40.5,-0.1
community cluster 2095,"['sunrise', 'beautifulday', 'feliznavidad', 'foodlover', 'marryicetea', 'drinklocal', 'icetea', 'austria']",38.0,-0.3160919540229885
community cluster 2096,"['breakfast', 'blueeyes', 'flowers', 'newyear', 'ınstagood', 'austria', 'afterwork']",36.0,-0.125
community cluster 2097,"['sunrise', 'flowers', '2021', 'traveladdict', 'frühlingsgefühle', 'happynewyear', 'tea', 'coffee']",47.0,-0.34972677595628404
community cluster 2098,"['goodmorning', 'photography', 'tea', 'winterwonderland', 'winelover', 'goodmood', 'tuscany', 'weekend']",54.0,-0.07352941176470582
community cluster 2099,"['styria', 'smile', 'marryicetea', 'drinklocal', 'icetea', 'winterwonderland', 'shooting', 'lifestyle']",55.0,-0.3584905660377359
community cluster 2100,"['streetstyle', 'newyear', '2021', 'sundowner', 'summeroutfit', 'sunglasses', 'shooting', 'lifestyle']",40.0,-0.1111111111111111
community cluster 2101,"['christmas', 'feliznavidad', 'styria', 'ınstagood', 'merrychristmas', 'photography', 'afterwork', 'art']",59.0,-0.125
community cluster 2102,"['breakfast', 'sunrise', 'sunshine', 'marryicetea', 'summeroutfit', 'moda', 'summer', 'lifestyle']",38.0,-0.2222222222222222
community cluster 2103,"['goodmorning', 'tuscany', 'sunrise', 'frühlingsgefühle', 'vacationmode', 'summer', 'art']",40.5,-0.15624999999999994
community cluster 2104,"['styria', 'smile', 'marryicetea', 'drinklocal', 'shooting', 'weekend']",57.5,-0.3061224489795919
community cluster 2105,"['goodmorning', 'frühlingsgefühle', 'marryicetea', 'photography', 'outdoor', 'tea', 'winterwonderland', 'art']",58.0,-0.18181818181818182
community cluster 2106,"['presents', 'sunrise', 'sunshine', 'beautifulday', 'newyear', 'xmas', 'sunglasses', 'coffee']",41.0,-0.1785714285714286
community cluster 2107,"['goodmorning', 'frühlingsgefühle', 'photography', 'tea', 'vacationmode', 'traveladdict', 'weekend']",59.625,-0.1940298507462686
community cluster 2108,"['summer', 'streetstyle', 'winterwonderland', 'sunglasses', 'goodmood', 'shooting', 'coffee', 'weekend']",47.0,-0.3636363636363636
community cluster 2109,"['presents', 'breakfast', 'sunrise', 'newyear', 'xmas', 'coffee', 'shooting', 'weekend']",56.0,-0.021276595744680906
community cluster 2110,"['streetstyle', 'smile', 'style', 'fashionlover', 'outdoor', 'moda', 'sunglasses', 'shooting']",39.0,-0.12499999999999994
community cluster 2111,"['shooting', '2021', 'styria', 'fashionlover', 'outdoor', 'summer', 'lifestyle']",45.0,-0.11111111111111108
community cluster 2112,"['streetstyle', 'xmas', 'art', 'coffee', 'moda', 'sunglasses', 'outfitoftheday', 'lifestyle']",45.0,-0.13846153846153852
community cluster 2113,"['presents', 'sunrise', 'feliznavidad', 'ınstagood', 'fashionlover', 'photography', 'moda', 'sunglasses']",39.0,-0.2923076923076924
community cluster 2114,"['presents', 'streetstyle', 'feliznavidad', 'fashionlover', 'xmas', 'ınstagood', 'summer', 'art']",30.0,-0.2203389830508475
community cluster 2115,"['breakfast', 'presents', 'newyear', '2021', 'style', 'moda', 'sunglasses', 'lifestyle']",42.0,-0.1403508771929824
community cluster 2116,"['breakfast', 'presents', 'sunrise', 'style', 'xmas', 'happylife', 'coffee']",47.25,-0.10638297872340423
community cluster 2117,"['sunrise', 'beautifulday', 'newyear', '2021', 'streetstyle', 'happynewyear', 'lifestyle']",37.125,-0.3333333333333333
community cluster 2118,"['christmas', 'feliznavidad', 'styria', 'ınstagood', 'merrychristmas']",39.875,-0.0967741935483871
community cluster 2119,"['breakfast', 'sunrise', 'beautifulday', 'styria', 'newyear', 'happynewyear', 'ınstagood', 'tea']",50.0,-0.16949152542372883
community cluster 2120,"['goodmorning', 'breakfast', 'sunrise', 'newyear', '2021', 'summer', 'lifestyle']",40.5,-0.11475409836065568
community cluster 2121,"['sunrise', 'newyear', '2021', 'happynewyear', 'traveladdict', 'summer', 'lifestyle']",31.5,-0.29166666666666663
community cluster 2122,"['holiday', 'frühlingsgefühle', 'ınstagood', 'sonnenuntergang', 'seaside', 'traveladdict', 'summer', 'art']",34.0,-0.4090909090909091
community cluster 2123,"['igersstyria', 'holiday', 'happylife', 'graz', 'holidaymood', 'stadtgraz', 'summer', 'blumen']",26.0,-0.24000000000000005
community cluster 2124,"['blueeyes', 'cute', 'styria', 'startuplife', 'snapshot', 'verrücktnachmarry', 'regional', 'urban']",47.0,-0.23437499999999994
community cluster 2125,"['lockdown', 'team', 'selfmade', 'frühling', 'couple', 'ostern']",40.0,-0.03474903474903474
community cluster 2126,"['hausberg', 'wandern', 'sunday', 'steiermark', 'couple', 'ostern', 'igersgraz', 'frühling']",73.0,0.06000000000000003
community cluster 2127,"['lockdown', 'auszeit', 'österreich', 'vorfreude', 'selfmade', 'steiermark', 'graz']",49.5,-0.17582417582417573
community cluster 2128,"['montag', 'valentinstag', 'vorfreude', 'baustelle', 'graz', 'frühling', 'austria']",20.25,-0.22448979591836732
community cluster 2129,"['montag', 'auszeit', 'österreich', 'valentinstag', 'vorfreude', 'steiermark', 'photography', 'frühling']",62.0,-0.3448275862068966
community cluster 2130,"['hausberg', 'österreich', 'wandern', 'selfmade', 'photography', 'graz', 'ostern', 'igersgraz']",68.0,-0.11320754716981127
community cluster 2131,"['inspiration', 'auszeit', 'wandern', 'style', 'sunday', 'baustelle', 'frühling', 'igersgraz']",68.0,-0.10606060606060606
community cluster 2132,"['österreich', 'valentinstag', 'vorfreude', 'sunday', 'selfmade', 'ostern', 'igersgraz', 'happysunday']",60.0,-0.1393442622950819
community cluster 2133,"['österreich', 'valentinstag', 'vorfreude', 'sunday', 'photography', 'frühling', 'ostern', 'spring']",61.0,-0.11016949152542375
community cluster 2134,"['inspiration', 'österreich', 'sunday', 'happysunday', 'frühling', 'ostern', 'spring']",59.625,-0.02747252747252738
community cluster 2135,"['auszeit', 'österreich', 'style', 'sunday', 'selfmade', 'frühling', 'spring']",54.0,-0.09756097560975602
community cluster 2136,"['österreich', 'valentinstag', 'vorfreude', 'style', 'sunday', 'baustelle', 'photography', 'spring']",58.0,-0.11016949152542375
community cluster 2137,"['auszeit', 'österreich', 'style', 'valentinstag', 'sunday', 'photography']",61.25,-0.22916666666666663
community cluster 2138,"['inspiration', 'valentinstag', 'vorfreude', 'selfmade', 'baustelle', 'photography', 'happysunday']",47.25,-0.18433179723502308
community cluster 2139,"['inspiration', 'vorfreude', 'birthday', 'sunday', 'vienna', 'vocals', 'happysunday']",49.5,-0.12807881773399007
community cluster 2140,"['happy', 'urlaub', 'shopping', 'style', 'cinema', 'familie', 'selfmade', 'abkühlung']",39.0,-0.20454545454545453
community cluster 2141,"['friends', 'mate', 'partnerincrime', 'marryicetea', 'icetea', 'eistee', 'verrücktnachmarry', 'drinks']",55.0,-0.2545454545454546
community cluster 2142,"['refresh', 'refreshing', 'cheers', 'business', 'verrücktnachmarry', 'icedtea', 'newdrink', 'delicious']",34.0,-0.20833333333333326
community cluster 2143,"['family', 'local', 'fresh', 'familytime', 'graz', 'verrücktnachmarry', 'picture', 'berries']",42.0,-0.31489361702127666
community cluster 2144,"['tasty', 'icetea', 'marry', 'youngandurban', 'verrücktnachbarry', 'concentration', 'verrücktnachmarry', 'creative']",34.0,-0.49090909090909096
community cluster 2145,"['partnerincrime', 'vote', 'icetea', 'challenge', 'friendship', 'decisions', 'raspberries', 'choose']",27.0,-0.15000000000000008
community cluster 2146,"['tongue', 'littlebitcrazy', 'refreshing', 'showtongue', 'icetea', 'langeweile', 'filter', 'crazy']",20.0,-0.2692307692307692
community cluster 2147,"['neues', 'productshot', 'funatwork', 'notserious', 'grimaces', 'icetea', 'humour', 'lieblingsmensch']",18.0,-0.3269230769230769
community cluster 2148,"['berrydrink', 'somethingnew', 'icetea', 'wodka', 'haidenspass', 'passion', 'dontworrybemarry', 'aeijst']",17.0,-0.23611111111111122
community cluster 2149,"['haidi', 'drinking', 'icetea', 'deliciousdrink', 'business', 'thinkdifferent', 'teamwork', 'collaboration']",24.0,-0.38983050847457623
community cluster 2150,"['shadows', 'haha', 'perfectmatch', 'icetea', 'shadow', 'instarunners', 'motivation', 'goals']",28.0,-0.15416666666666665
community cluster 2151,"['bromance', 'chappi', 'reflections', 'foodporn', 'bestcousin', 'icetea', 'cooking', 'eating']",32.0,-0.07407407407407404
community cluster 2152,"['hobbycooking', 'friendshipgoals', 'family', 'uncle', 'newphew', 'icetea', 'knödelmitei', 'delicious']",34.0,-0.10699588477366248
community cluster 2153,"['cute', 'local', 'mmmmh', 'chocolatelover', 'familytime', 'icetea', 'lesssugar', 'bestnephew']",31.0,-0.375
community cluster 2154,"['cooldrinks', 'effects', 'shake', 'shakeshakeshake', 'gutaufgelegt', 'icetea', 'magic', 'videoeffects']",18.0,-0.20833333333333345
community cluster 2155,"['bff', 'proud', 'natur', 'icetea', 'berry', 'regional', 'marrymindset', 'urban']",37.0,-0.24999999999999997
community cluster 2156,"['experiment', 'ingredients', 'icetea', 'startuplife', 'random', 'advertisement', 'snapshot', 'yasmintee']",22.0,-0.016949152542372822
community cluster 2157,"['keepsmiling', 'products', 'schaufenster', 'productdesign', 'puzzle', 'icetea', 'freshdrink', 'picture']",22.0,-0.1
community cluster 2158,"['berrys', 'erhatdiehaareschön', 'togetherisbetter', 'herrengassegraz', 'marryKunde', 'newcustomer', 'icetea', 'berrylove']",17.0,-0.4000000000000001
community cluster 2159,"['blackberries', 'cooperation', 'bigeyes', 'vegandrink', 'glassbottle', 'barbershop', 'icetea', 'somethingaboutmarry']",19.0,0.0
community cluster 2160,"['wholefruit', 'juicy', 'tasty', 'secret', 'icetea', 'verrücktnachbarry', 'delicous', 'drinkandfun']",25.0,-0.14084507042253525
community cluster 2161,"['handmadewithlove', 'entrepreneur', 'trinkenhilft', 'grimace', 'icetea', 'youngandurban', 'perfectmoment', 'drinkthis']",20.0,-0.07216494845360824
community cluster 2162,"['styria', 'partnerincrime', 'partneriscrime', 'icetea', 'igersgraz', 'kino', 'drinks', 'berries']",68.0,-0.33333333333333337
community cluster 2163,"['friends', 'refresh', 'partnerincrime', 'marryicetea', 'cheers', 'eistee', 'drinks', 'teamwork']",49.0,-0.12765957446808518
community cluster 2164,"['family', 'local', 'styria', 'foodlover', 'business', 'eistee', 'motivation', 'regional']",66.0,-0.30000000000000004
community cluster 2165,"['proud', 'natur', 'graz', 'startuplife', 'verrücktnachbarry', 'eistee', 'marry', 'urban']",32.0,-0.2708333333333333
community cluster 2166,"['mate', 'entrepreneur', 'tasty', 'youngandurban', 'eistee', 'drinks', 'drinkthis']",34.875,-0.4019933554817276
community cluster 2167,"['friendshipgoals', 'funny', 'fresh', 'startup', 'fun', 'regional', 'berries', 'urban']",58.0,-0.17647058823529407
community cluster 2168,"['funny', 'partnerincrime', 'styria', 'goals', 'motivation', 'drinks', 'shooting', 'urban']",52.0,-0.27999999999999997
community cluster 2169,"['mate', 'funny', 'fresh', 'vote', 'graz', 'marry', 'handmade', 'austria']",21.0,0.0
community cluster 2170,"['styria', 'partnerincrime', 'whatsbetter', 'whattodo', 'drinks', 'berries']",43.75,-0.37728937728937734
community cluster 2171,"['mate', 'styria', 'vote', 'whattodo', 'startup', 'quiz', 'raspberries', 'regional']",45.0,-0.25000000000000006
community cluster 2172,"['friends', 'partnerincrime', 'vote', 'quiz', 'drinks', 'shooting', 'berries']",46.125,-0.09890109890109897
community cluster 2173,"['mate', 'family', 'foodporn', 'local', 'foodlover', 'vote', 'raspberries', 'berries']",50.0,-0.3023255813953489
community cluster 2174,"['mate', 'refresh', 'partnerincrime', 'marryicetea', 'newdrink', 'drinks', 'raspberries']",32.625,-0.45288753799392095
community cluster 2175,"['mate', 'local', 'styria', 'natur', 'cheers', 'drink', 'lesssugar', 'drinks']",57.0,-0.23076923076923075
community cluster 2176,"['partnerincrime', 'littlebitcrazy', 'crazy', 'challenge', 'friendship', 'decisions', 'drinks', 'choose']",26.0,-0.13924050632911406
community cluster 2177,"['refresh', 'tongue', 'refreshing', 'marryicetea', 'showtongue', 'langeweile', 'drinks', 'filter']",27.0,-0.24
community cluster 2178,"['neues', 'notserious', 'grimaces', 'beauty', 'humour', 'drinks', 'shooting', 'lieblingsmensch']",27.0,-0.2708333333333333
community cluster 2179,"['berrydrink', 'aeijst', 'productshot', 'haidenspass', 'icedtea', 'dontworrybemarry', 'drinks', 'funatwork']",19.0,-0.19117647058823528
community cluster 2180,"['somethingnew', 'thinkdifferent', 'drinking', 'wodka', 'passion', 'newdrink', 'drinks', 'teamwork']",21.0,-0.04109589041095893
community cluster 2181,"['shadows', 'haidi', 'instarunners', 'business', 'deliciousdrink', 'shadow', 'drinks', 'collaboration']",22.0,-0.20392156862745098
community cluster 2182,"['bromance', 'reflections', 'haha', 'perfectmatch', 'goals', 'cooking', 'motivation', 'drinks']",33.0,-0.03846153846153844
community cluster 2183,"['friendshipgoals', 'chappi', 'foodporn', 'foodlover', 'bestcousin', 'knödelmitei', 'drinks', 'eating']",41.0,-0.18604651162790703
community cluster 2184,"['hobbycooking', 'cute', 'family', 'uncle', 'familytime', 'newphew', 'drinks', 'delicious']",38.0,-0.06060606060606055
community cluster 2185,"['effects', 'smile', 'chocolatelover', 'mmmmh', 'magic', 'videoeffects', 'drinks', 'bestnephew']",20.0,-0.07692307692307701
community cluster 2186,"['cooldrinks', 'shake', 'shakeshakeshake', 'videodreh', 'gutaufgelegt', 'drinks', 'regional', 'marrymindset']",25.0,-0.12307692307692321
community cluster 2187,"['bff', 'proud', 'natur', 'startup', 'berry', 'drinks', 'austria', 'urban']",43.0,-0.13157894736842107
community cluster 2188,"['organic', 'experiment', 'ingredients', 'startuplife', 'random', 'snapshot', 'drinks', 'yasmintee']",29.0,-0.22641509433962267
community cluster 2189,"['keepsmiling', 'fresh', 'graz', 'puzzle', 'advertisement', 'drinks', 'freshdrink', 'picture']",25.0,-0.05970149253731341
community cluster 2190,"['products', 'schaufenster', 'productdesign', 'herrengassegraz', 'concentration', 'marry', 'drinks', 'creative']",21.0,-0.12021857923497256
community cluster 2191,"['berrys', 'erhatdiehaareschön', 'togetherisbetter', 'marryKunde', 'barbershop', 'newcustomer', 'drinks', 'berrylove']",17.0,-0.35000000000000003
community cluster 2192,"['blackberries', 'cooperation', 'bigeyes', 'vegandrink', 'glassbottle', 'drinklocal', 'somethingaboutmarry', 'drinks']",20.0,-0.0666666666666666
community cluster 2193,"['wholefruit', 'drinkandfun', 'juicy', 'secret', 'getränke', 'verrücktnachbarry', 'delicous', 'drinks']",20.0,-0.14084507042253525
community cluster 2194,"['handmadewithlove', 'trinkenhilft', 'partnerincrime', 'grimace', 'youngandurban', 'perfectmoment', 'handmade', 'drinks']",24.0,0.01098901098901095
community cluster 2195,"['styria', 'partnerincrime', 'natur', 'graz', 'challenge', 'organic', 'berries', 'choose']",45.0,-0.27659574468085113
community cluster 2196,"['styria', 'friendship', 'decisions', 'regional', 'berries', 'choose']",45.0,-0.3061224489795919
community cluster 2197,"['friends', 'family', 'partnerincrime', 'proud', 'friendship', 'decisions', 'organic', 'crazy']",44.0,-0.04651162790697687
community cluster 2198,"['friends', 'family', 'marryicetea', 'familytime', 'business', 'cooking', 'motivation', 'delicious']",55.0,-0.19607843137254904
community cluster 2199,"['friends', 'keepsmiling', 'styria', 'proud', 'startuplife', 'startup', 'verrücktnachbarry', 'urban']",57.0,-0.30508474576271194
community cluster 2200,"['friends', 'handmadewithlove', 'entrepreneur', 'partnerincrime', 'tasty', 'grimace', 'getränke', 'drinkthis']",30.0,-0.3166666666666667
community cluster 2201,"['refresh', 'partnerincrime', 'tongue', 'littlebitcrazy', 'marryicetea', 'showtongue', 'filter', 'crazy']",18.0,-0.37704918032786877
community cluster 2202,"['neues', 'shooting', 'partnerincrime', 'refreshing', 'grimaces', 'langeweile', 'beauty', 'lieblingsmensch']",21.0,-0.375
community cluster 2203,"['dontworrybemarry', 'berrydrink', 'partnerincrime', 'productshot', 'notserious', 'icedtea', 'humour', 'funatwork']",11.0,-0.005263157894736824
community cluster 2204,"['partnerincrime', 'somethingnew', 'wodka', 'haidenspass', 'passion', 'newdrink', 'aeijst', 'alcohol']",13.0,-0.16049382716049387
community cluster 2205,"['partnerincrime', 'drinking', 'cheers', 'deliciousdrink', 'business', 'thinkdifferent', 'teamwork', 'collaboration']",21.0,-0.17073170731707318
community cluster 2206,"['shadows', 'haha', 'partnerincrime', 'haidi', 'perfectmatch', 'shadow', 'instarunners', 'drink']",15.0,-0.2339622641509434
community cluster 2207,"['bromance', 'reflections', 'partnerincrime', 'bestcousin', 'goals', 'cooking', 'motivation', 'eating']",24.0,-0.12280701754385955
community cluster 2208,"['hobbycooking', 'friendshipgoals', 'chappi', 'foodporn', 'partnerincrime', 'foodlover', 'knödelmitei', 'delicious']",36.0,-0.08438818565400845
community cluster 2209,"['family', 'local', 'partnerincrime', 'styria', 'uncle', 'familytime', 'newphew', 'berries']",46.0,-0.28444444444444456
community cluster 2210,"['cute', 'partnerincrime', 'mmmmh', 'chocolatelover', 'magic', 'lesssugar', 'chocolate', 'bestnephew']",16.0,-0.45454545454545453
community cluster 2211,"['effects', 'partnerincrime', 'shake', 'smile', 'shakeshakeshake', 'videodreh', 'gutaufgelegt', 'videoeffects']",13.0,-0.2258064516129033
community cluster 2212,"['bff', 'cooldrinks', 'partnerincrime', 'startup', 'berry', 'regional', 'marrymindset', 'urban']",32.0,-0.4406779661016949
community cluster 2213,"['organic', 'partnerincrime', 'proud', 'natur', 'experiment', 'ingredients', 'austria', 'yasmintee']",26.0,-0.2545454545454546
community cluster 2214,"['keepsmiling', 'partnerincrime', 'graz', 'random', 'startuplife', 'puzzle', 'advertisement', 'snapshot']",15.0,-0.11267605633802813
community cluster 2215,"['partnerincrime', 'schaufenster', 'fresh', 'concentration', 'marry', 'freshdrink', 'picture', 'creative']",19.0,-0.12820512820512822
community cluster 2216,"['berrys', 'partnerincrime', 'products', 'productdesign', 'herrengassegraz', 'togetherisbetter', 'newcustomer', 'berrylove']",10.0,-0.417910447761194
community cluster 2217,"['blackberries', 'erhatdiehaareschön', 'vegandrink', 'partnerincrime', 'glassbottle', 'marryKunde', 'barbershop', 'somethingaboutmarry']",11.0,-0.09090909090909091
community cluster 2218,"['wholefruit', 'bigeyes', 'juicy', 'partnerincrime', 'secret', 'verrücktnachbarry', 'delicous', 'drinkandfun']",10.0,-0.16438356164383572
community cluster 2219,"['refresh', 'partnerincrime', 'marryicetea', 'sunset', 'youngandurban', 'perfectmoment', 'icedtea', 'newdrink']",30.0,-0.36666666666666664
community cluster 2220,"['styria', 'organic', 'proud', 'graz', 'austria', 'regional', 'berries', 'crazy']",41.0,-0.10526315789473695
community cluster 2221,"['blackberries', 'gin', 'vegandrink', 'glassbottle', 'getränke', 'somethingaboutmarry', 'berries', 'crazy']",21.0,-0.04109589041095893
community cluster 2222,"['styria', 'tongue', 'littlebitcrazy', 'showtongue', 'filter', 'berries']",31.25,-0.32539682539682546
community cluster 2223,"['refresh', 'styria', 'organic', 'natur', 'startup', 'snapshot', 'filter', 'regional']",62.0,-0.15555555555555556
community cluster 2224,"['refresh', 'marryicetea', 'cheers', 'business', 'icedtea', 'drink', 'cooking', 'newdrink']",39.0,-0.15555555555555556
