hashtag,average_likes,number_of_posts_with_this_hashtag
#grazereistee,119.5,2
#sparösterreich,114.66666666666667,3
#sparmeetsmarryicetea,71.0,1
#lifestyle,71.0,1
#grazericetea,71.0,1
#healthyicetea,71.0,1
#goodvibes,35.5,2
#shopping,71.0,1
#sheraton,75.0,2
#müllerdrogerie,75.0,1
#dm,75.0,1
#rossmann,75.0,1
#kaufland,75.0,1
#pitchperfect,75.0,1
#foodandbeverage,75.0,1
#infoodwetrust,75.0,1
#inbeverageweenjoy,75.0,1
#frankfurt,75.0,1
#freundesprüche,81.0,1
#quotes,79.0,2
#zitateundsprüche,81.0,1
#zitatefürsleben,81.0,1
#spruch,81.0,1
#reginalität,81.0,1
#throwbackthursday,79.0,1
#polaroids,79.0,1
#partys,76.0,1
#geburtstagen,76.0,1
#mixgetränk,76.0,1
#südsteiermark,76.0,1
#kooperation,76.0,1
#spirituosen,76.0,1
#marryaperitif,0.0,1
#aperitif,0.0,1
#apéritif,0.0,1
#apéritiftime,0.0,1
#sommeraperitif,0.0,1
#beerigeraperitif,0.0,1
#selfmade,0.0,1
#selfmadeaperitif,0.0,1
#regionaleraperitif,0.0,1
#klassischeraperitiv,0.0,1
#aperitifcocktails,0.0,1
#süßeraperitiv,0.0,1
#erfischend,0.0,1
#feiern,0.0,1
#gartenparty,0.0,1
#grillabend,0.0,1
#mixing,0.0,1
#cocktailmixing,0.0,1
#marrymixing,0.0,1
#rezepte,0.0,1
#aperitifrezept,0.0,1
#bestaperitif,0.0,1
#doityourself,0.0,1
#haidiwodka,97.0,1
#heu,97.0,1
#heuwodka,94.5,2
#biowodka,94.5,2
#biovodka,94.5,2
#premiumwodka,97.0,1
#premiumvodka,97.0,1
#naturlicherwodka,97.0,1
#steirischegraser,94.5,2
#heuaromen,97.0,1
#weihachtsgeschenk,97.0,1
#gründermesse,97.0,1
#whatchado,97.0,1
#startupscene,80.0,2
#entrepreneurgoals,92.5,2
#founderandfriends,97.0,1
#workaholic,134.0,1
#empathisch,134.0,1
#herzundseele,134.0,1
#alwaysfresh,134.0,1
#cocacola,134.0,1
#whywhywhy,134.0,1
#abenteuerlustig,145.0,1
#megasympathisch,145.0,1
#dasalzburger,163.0,1
#jahr,0.0,1
#weihnachtsfest,0.0,1
#rutsch,0.0,1
#2020,0.0,1
#highlights,0.0,1
#christmas,0.0,1
#xmas,0.0,1
#christmasiscoming,0.0,1
#instagood,0.0,1
#vielendank,0.0,1
#merrychristmas,0.0,1
#marrychristmas,0.0,1
#bestteam,142.0,1
#marryontour,142.0,1
#deinkhealthy,142.0,1
#eis,89.0,1
#eisgehtimmer,89.0,1
#konditorei,89.0,1
#eisliebe,89.0,1
#eisessen,89.0,1
#refresh,0.0,1
#gettoknowmarry,107.0,1
#unternehmenskultur,107.0,1
#herbst202,114.0,1
#sparmeetscarry,136.5,2
#SriLanka,190.0,1
#lieblingseistee,190.0,1
#gaumenfreude,95.33333333333333,3
#wieallesbegann,68.0,1
#marryorigins,68.0,1
#probierengehtüberstudieren,68.0,1
#erfinder,61.0,1
#geburtstag,61.0,1
#überraschungsparty,61.0,1
#entrepreneur,61.0,1
#bdayparty,61.0,1
#suprisebirthday,61.0,1
#officeparty,61.0,1
#sohn,56.0,1
#Curry,57.5,2
#Fotos,56.0,1
#sharingiscaring,56.0,1
#healthy,56.0,1
#healthyfood,56.0,1
#fresh,83.0,1
#iceteas,83.0,1
#icetealemon,83.0,1
#iceteatime,83.0,1
#Asia,62.0,1
#Fusion,62.0,1
#Sushi,62.0,1
#Thai,62.0,1
#Mongolian,62.0,1
#Teppanyaki,62.0,1
#Unterstützern,62.0,1
#truefellas,74.0,1
#barbershop,74.0,1
#verkostung,101.33333333333333,3
#valentinesday,300.0,1
#valentine,300.0,1
#berry,300.0,1
#bemyvalentine,300.0,1
#seidgespannt,117.0,2
#baldgehtslos,129.0,1
#wirfreuenuns,129.0,1
#meilensteine,129.0,1
#erfolg,129.0,1
#neues,129.0,1
#disziplin,129.0,1
#zieleverfolgen,129.0,1
#durchstarten,129.0,1
#bestesteam,155.0,2
#aufgeregt,129.0,1
#geheimnis,129.0,1
#geheimnisse,129.0,1
#freude,171.0,2
#Marrycrew,181.0,1
#ambitioniert,181.0,1
#gesprächig,181.0,1
#abenteuerreich,181.0,1
#Festival,63.0,1
#Outfit,63.0,1
#dressup,63.0,1
#fashiontrends,63.0,1
#lifeisapitch,119.0,1
#growthmindset,119.0,1
#lieblingsfoto,48.0,1
#artsy,118.0,1
#ehrgeizig,118.0,1
#essensliebhaberin,118.0,1
#teamvorstellung,118.0,1
#energiebündel,118.0,1
#spreadhappiness,118.0,1
#nocringe,118.0,1
#promotion,52.0,1
#lokalen,52.0,1
#promotiongirl,52.0,1
#fashionpost,52.0,1
#fashiongram,52.0,1
#instastyle,52.0,1
#natürlichgesund,91.0,1
#umweltbewusst,127.0,1
#beerenentsaften,127.0,1
#tealoversofinstagram,127.0,1
#popupstores,45.0,1
#wahrelieberostetnicht,45.0,1
#ideentriebwerkgraz,45.0,1
#startupspritzer,45.0,1
#daslebengenießen,45.0,1
#25grams,45.0,1
#kakaolimonade,45.0,1
#urbanlifestyle,115.0,1
#supportsmallbusiness,115.0,1
#brandsyoulove,115.0,1
#havingfun,115.0,1
#fundays,115.0,1
#networkingday,115.0,1
#kunsthausgraz,115.0,1
#kunsthauscafe,164.0,2
#grazfoodguide,115.0,1
#veranstaltung,115.0,1
#erinnerungen,115.0,1
#WOW,59.0,1
#Flaschen,59.0,1
#Franchisekette,59.0,1
#Partner,59.0,1
#Gutscheine,59.0,1
#Gewinn,59.0,1
#theberriedicetea,59.0,1
#larry,48.0,2
#marrymeetsbeer,48.0,2
#lavabräu,48.0,2
#marrymeetslavabräu,96.0,1
#prickeln,96.0,1
#sprudel,96.0,1
#bierig,48.0,2
#beerigbierig,96.0,1
#momente,96.0,1
#colddrink,96.0,1
#drinkbythepool,96.0,1
#urlaubsfeeling,96.0,1
#steirische,85.0,1
#happybirthday,73.0,1
#einjahrälter,73.0,1
#kuss,0.0,1
#youngandurbbyspar,0.0,1
#himbeerenliebe,127.0,1
#naschen,127.0,1
#früchte,120.5,2
#mondayisfunday,79.0,1
#einbisschenspassmusssein,79.0,1
#montage,79.0,1
#gehtsichaus,79.0,1
#zirtronen,105.0,1
#icetealover,105.0,1
#veganfood,105.0,1
#drinklocal,88.0,2
#foodlover,105.0,1
#ganzebeeren,73.0,1
#johannisbeeren,73.0,1
#gelernt,81.0,1
#gewachsen,81.0,1
#curiosity,81.0,1
#regionale,81.0,1
#limitierte,81.0,1
#fruhstuck,213.0,1
#breakfast,213.0,1
#kaffee,213.0,1
#food,213.0,1
#gutenmorgen,213.0,1
#weihnachtsgeschenk,213.0,1
#Genuss,213.0,1
#Kostlichkeiten,213.0,1
#Regionalitat,213.0,1
#verrücktnachlarry,0.0,2
#zischfrischlarry,0.0,1
#nowavailable,0.0,1
#Pizzen,57.0,1
#Calamaries,57.0,1
#solecker,57.0,1
#pizzagourmet,57.0,1
#foodporn,57.0,1
#gastro,57.0,1
#supporter,57.0,1
#sogood,57.0,1
#fifteensecondsfestival,81.0,1
#feedback,81.0,1
#prelaunch,81.0,1
#startupland,81.0,1
#innovation,81.0,1
#kreativität,81.0,1
#stadtgraz,81.0,1
#thinkahead19,81.0,1
#marrygoesCrowdfunding,81.0,1
#bioheuwodka,92.0,1
#grunerwodka,92.0,1
#buro,84.0,1
#office,84.0,1
#arbeitswoche,84.0,1
#entspannt,151.0,1
#igdrinks,151.0,1
#cooldrinks,151.0,1
#veganfindsaustria,151.0,1
#socialbusiness,88.0,1
#kunst,88.0,1
#design,88.0,1
#kunstkenntkeinegrenzen,88.0,1
#voifesch,88.0,1
#bewusstseinsbildung,88.0,1
#rewards,88.0,1
#Kaffeekultur,54.0,1
#barista,54.0,1
#coffeeshop,54.0,1
#baristagram,54.0,1
#beerenstark,114.0,1
#Gin,88.0,1
#schnapsbrennen,88.0,1
#herzblut,88.0,1
#workshops,88.0,1
#ginandmarry,88.0,1
#garrytheberriedgin,88.0,1
#experiments,88.0,1
#foundersday,88.0,1
#sweet,77.0,1
#süßeverführung,77.0,1
#baldistessoweit,105.0,1
#marrycocktail,0.0,1
#berryspirit,0.0,1
#delicious,145.0,1
#tastethefeeling,145.0,1
#togetherisbetter,145.0,1
#holunderblüten,183.0,1
#zitronigfrisch,183.0,1
