username, is_a_company, is_a_deep_crawl
veni.vidi.vici.dormivi,False,True
loquitajasmina,False,True
__na.dine___,False,True
tamiisu,False,True
daniela_ter_la,False,True
katharina.zoescher,False,True
raberhof,False,True
gewara.de,False,True
larissaraeth,False,True
thecrether,False,True
resonanz.leben,False,True
natasaka,False,True
lissa_ga_,False,True
yoga_mit_kathi,False,True
johannasch,False,True
kerstinfida,False,True
daniel_knows_graz,False,True
janinasei_20,False,True
suessibaby,False,True
verena.prasch,False,True
almuthschnehen,False,True
_marie.engel_,False,True
__marie__christin__,False,True
lisaschuhmacherrrr,False,True
supportourgraz,False,True
casa_ananda_graz,False,True
mangolds_futter,False,True
ludvigrage.club,False,True
ninazettl_,False,True
leas_foodworld,False,True
der_teepapst,False,True
airamregnis,False,True
femme_petite,False,True
came.saw.travelled,False,True
blackcoffeebreakfast,False,True
lisibepunkt,False,True
the.world.of.kat,False,True
bschodl,False,True
flicker_melanie,False,True
theaelix,False,True
simulias,False,True
cindysiebert78,False,True
aandrealauraa,False,True
iolandabd,False,True
fachlsalzburg,False,True
anja.greinig,False,True
j.remes,False,True
urbanistubn,False,True
cooking_anita,False,True
muetzenmafia,False,True
colour.cups,False,True
herzmomente.events,False,True
ewald_96,False,True
meinungsgefluester,False,True
rieder_alexandra,False,True
johannes.maximilian_,False,True
wolfgang_deutschmann,False,True
chrisulz,False,True
adilozancic,False,True
annakatha.rina,False,True
deka.ram94,False,True
sophie.franz,False,True
marcel.kilic,False,True
tomharrybeer,False,True
sinplastic.de,False,True
thesmartspirit,False,True
edvgraz,False,True
momentsof.graz,False,True
isabellagavaneli,False,True
wir.gewinnt,False,True
thomas.pratl,False,True
michael_burgenland,False,True
_lumberjack_83,False,True
ramonster13,False,True
elleenhs,False,True
mezziebox,False,True
maggieiscooking,False,True
snow.white.photography,False,True
fabienne_velikogne,False,True
bianca_m_m_g_p,False,True
foreignmommyblog,False,True
cschoeggler,False,True
anna_herzmomente,False,True
klara.payr,False,True
zwei.semmeln.im.glas,False,True
retschiiii,False,True
beautiful_placeezzz,False,True
expert24spirits,False,True
enerep_schoenertag,False,True
verena.fath,False,True
jessie.matata,False,True
jenny.home.life,False,True
moritz.katzbeck,False,True
porti_laeuft,False,True
_kerstin_f,False,True
tri_marleiny_k,False,True
schlagersbirkfeld,False,True
freiblickgraz,False,True
caro_hagspiel,False,True
mikis_sweet_kitchen,False,True
_axxika_,False,True
_zseni,False,True
lifestyleclub_graz,False,True
jakobdeimbacher,False,True
streetviews.graz_stmk,False,True
indjana_,False,True
travel_baby_,False,True
cia2ra,False,True
funkysaucesvienna,False,True
marianaal207,False,True
bytepoets,False,True
maunzimadame,False,True
weboundmarketing,False,True
kleemargot,False,True
zeit.ohne.raum,False,True
vereinskarussell,False,True
nati_7_29,False,True
ipers1,False,True
lisamarieulz,False,True
delicious.food.graz,False,True
hi_austria,False,True
bellalucia86,False,True
blondiebrowniefood,False,True
lifestyle_bianca,False,True
thisisnoenvy,False,True
rosalie_gortana,False,True
krasimir.21,False,True
wkerstin,False,True
annie__francesca,False,True
_na.la_,False,True
lieblingsmensch33,False,True
haur1010,False,True
move4sustainability,False,True
andrea.nagele,False,True
steinvondaheim,False,True
kathi.ll,False,True
andreas_resh,False,True
koberlmathias,False,True
martinabacherblog,False,True
markusp88,False,True
sa_rogue,False,True
moritz.dari,False,True
inesherz,False,True
nikfluencer,False,True
jnp_690,False,True
thomas_vorabe,False,True
heissenbergerteeundkaffee,False,True
kleinbauernmarkt.at,False,True
mariasandersofficial,False,True
markusliebeg,False,True
schlossbergkater,False,True
kerstin.bauer99,False,True
die_wohlfuehlmanufaktur,False,True
malwiederso,False,True
elfies_moments,False,True
laura_birnstingl,False,True
tom_jan_,False,True
studoapp,False,True
soclacarol,False,True
handwerk_kreativ,False,True
hanfwasser,False,True
franzi_weidner,False,True
paeonienrose,False,True
kathas_backliebe,False,True
mariemare__louis,False,True
chris.gruff,False,True
kobaldsandra,False,True
trixisshabbyhome,False,True
julijamiller,False,True
dapo__music,False,True
beni_klotz8,False,True
myproduct.at,False,True
a_soytuerk,False,True
logstalogistics,False,True
therenderers,False,True
christophtoesch,False,True
denisekovarik,False,True
boxi.markus,False,True
ceelian,False,True
lena_markus_,False,True
tinipulm,False,True
spirulix,False,True
_caro.knits_,False,True
wearemegusta,False,True
miss_jessay,False,True
ringe_reia,False,True
koller_elena,False,True
kari_whitedog,False,True
celine.vinotime,False,True
studioherzfeld,False,True
_jacky_f,False,True
anna__pi_,False,True
meranocitygraz,False,True
birnstingl_kernoel,False,True
tinchen825,False,True
lisa.lilli.ro,False,True
astknopf,False,True
verfressen_in_wien,False,True
_die_astrid_,False,True
nzmajko,False,True
kaufi_ninetyone,False,True
mahe.68,False,True
alex.knoll,False,True
katja_posch,False,True
updrones.at,False,True
chris_ammerer,False,True
evgenia_rieger_photography,False,True
markusbuchsbaum,False,True
ripix.at,False,True
elly.annax,False,True
erik.ograjensek,False,True
hellisfoodblog,False,True
ilg_group,False,True
meranobargraz,False,True
_greenmaya_,False,True
jay_the_exciter,False,True
missclassycom,False,True
frauhans_,False,True
selin__lakatha,False,True
f.schramm_,False,True
mitzimims,False,True
minacloverwine,False,True
annalenaherrera,False,True
anjagrohmann_illustration,False,True
verenakassar,False,True
timmycaparros,False,True
studio.erleben,False,True
myslrymmais,False,True
elenaa.ha,False,True
oberhauser_anna,False,True
phrauter,False,True
cristoforo_italia,False,True
thomasromankiewicz,False,True
discount_at,False,True
maniiimo,False,True
illuministina,False,True
phips_1994,False,True
mate_mood,False,True
fabeltisch_keramikstore,False,True
diana__teresa,False,True
fraeulein_kreativa,False,True
manuelaedler,False,True
tante_frida_oesterreich,False,True
juliaschoellauf,False,True
standl5,False,True
felix_barka,False,True
fjcandles,False,True
paradisashop,False,True
d_master96,False,True
junglesteffi,False,True
iamplasticfree.de,False,True
erfolgreich.wachsen,False,True
dorotheehettwer,False,True
leonie.010,False,True
runchefrun,False,True
weinstueberl,False,True
the_hive.fit,False,True
theycallmegona,False,True
ni.wa,False,True
app_radar,False,True
sannienie,False,True
biancadepon,False,True
sarah_jasmin_bergmann,False,True
electric_tones,False,True
reka.mn,False,True
sakdesignss,False,True
juicytine_,False,True
pensiontraude,False,True
alfredokrasser,False,True
ame.edi.azra,False,True
phips707,False,True
alexa_stav,False,True
fromaustria,False,True
salome.ortner,False,True
thatsjasi,False,True
cooking_with_mirela,False,True
matthias.hohl,False,True
haargott,False,True
nici.at,False,True
anke.pol,False,True
xkyuubi,False,True
norberthagenhofer,False,True
christina.e.k,False,True
stefaniekle,False,True
challengeyourmindofficial,False,True
kakaolimonade,False,True
_mau_mau_s,False,True
christine_deniz,False,True
sch.0k0,False,True
_rise_up_media_,False,True
claudia.schagerl,False,True
foodinsider_tips,False,True
bunakaffee,False,True
kiki_bourbon_,False,True
g10002019,False,True
_marvin.konrad_,False,True
vaneeey__,False,True
ka_ma43,False,True
_pmarketing_,False,True
klaus_rosenberger,False,True
angi_van_daihatsu,False,True
andrea.jorgler,False,True
dabub1185,False,True
baking_jazzmin,False,True
it_is_lisa0107,False,True
haikajmai,False,True
dailymindpower,False,True
juergen_kettner,False,True
markuslindnerml,False,True
vika_van_ankerliebe,False,True
matthiairs,False,True
adamseyes_adventure,False,True
prismetical,False,True
eventmgmtheinreichsberger,False,True
robertbodnarukrrr,False,True
ozeankind_wien,False,True
nahgenuss,False,True
eatandstyleoberwart,False,True
studio_graz,False,True
filflow,False,True
escapetheordinary_n,False,True
evablue3105,False,True
teresahaupt_,False,True
nicolelovesfashion,False,True
sopheey03,False,True
susannefeier,False,True
bridscheet,False,True
mtvowl,False,True
areisinga,False,True
doris.wil,False,True
stefanschmidude,False,True
tmayer_strengthcoach,False,True
ewakloss,False,True
amaier99,False,True
manuel_henggi,False,True
patricktheuermann,False,True
werther_zu_2d,False,True
marry_uuu,False,True
capturemoments__,False,True
alicexchristina,False,True
heusi_187,False,True
sabrina_in_a_nutshell,False,True
lauretta_xd,False,True
rreisi,False,True
lebbirgit,False,True
oachkatzl_hannes,False,True
auch_hier,False,True
pethah,False,True
sarah.h.a.m,False,True
patrickalexander17,False,True
kathl_hierzer,False,True
princess_prinjess,False,True
sphia_p,False,True
annather_story,False,True
jasminfrick22,False,True
jutestattplastik,False,True
_a_m_o_n_a,False,True
wolfgangschopper,False,True
sunnys_wohnzimmerkueche,False,True
liufan_inside,False,True
schobsn_jen,False,True
__eigenhaendig__,False,True
antonmaresch,False,True
sebastianzier,False,True
testeriinn,False,True
philipp.at,False,True
marioalbrecht,False,True
sarah_b1108,False,True
emily_mertlitz_12,False,True
raul.mjl,False,True
diegsibergerin,False,True
d.a.maria,False,True
lisa_friessnig,False,True
isi_smn,False,True
official._.mischi,False,True
philippdyczek,False,True
nicoleschoerkhuber,False,True
mur_li_,False,True
jordan_taylor_j,False,True
floriii.schm,False,True
beatrice_karner,False,True
nina_stockreiter,False,True
da_berni,False,True
cla__lin,False,True
ahanemaayer,False,True
tatjana_venus,False,True
remolicious3,False,True
fresh_campaigning,False,True
yummnik.barbara,False,True
clarafruehwirth,False,True
happy_mom_testet,False,True
_n.e.r.g.i.z_,False,True
annatura_,False,True
nachoxdiaries,False,True
rauerssproessling,False,True
juliuskitchen,False,True
emilys.even,False,True
basenbox,False,True
official.nefelibata,False,True
katastrophic_20,False,True
max_haidinger,False,True
